snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-6.0,1:1,1,0.001,0,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,0.319837513043292,-2.545313805424334,2.865151318467626,7,complete,2,True,5.890182651047127e-05,0.00025,4.99955890183;5.00051405729,2667.776974361681,split_0.40_over_T,nan,nan,2.8201255843094,False,2.582526099999086,0.010399900005722884,2.582526099999086,2.5929923000003328,dense
-6.0,1:1,1,0.001,1,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,2.329630196487609,-0.3452521726000044,2.6748823690876136,6,complete,2,True,3.6964929296168236e-05,0.00025,4.99953696493;5.0005209842,2122.3778003747575,split_0.40_over_T,nan,nan,2.7336818960632967,False,2.8700449999960256,0.011354900001606438,2.8700449999960256,2.8814549000016996,dense
-6.0,1:1,1,0.001,2,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,2.8572485542093897,-0.06136382269156471,2.9186123769009544,7,complete,2,True,2.7002325565739227e-05,0.00025,4.99949526347;5.00047299767,2590.460299617087,split_0.40_over_T,nan,nan,2.7520331268897458,False,3.0655154999985825,0.011532999997143634,3.0655154999985825,3.0771355999968364,dense
-6.0,1:1,1,0.001,3,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-2.701795956184649,-0.512933491421264,2.188862464763385,5,complete,2,False,0.00033588148593732825,0.00025,4.99916411851;5.00076593517,2548.7038936756435,residual_peak,nan,nan,1.621714561416499,False,3.422304699997767,0.012877499997557607,3.422304699997767,3.435327099999995,dense
-6.0,1:1,1,0.001,4,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.215230907771069,-2.6643292030768024,2.4490982953057334,6,complete,2,True,2.8515169042009347e-05,0.00025,4.99951798996;5.00052851517,1567.804211553128,split_0.40_over_T,nan,nan,2.6585794996351115,False,3.8187003999992157,0.013785899995127693,3.8187003999992157,3.832646599999862,dense
-6.0,1:1,1,0.001,5,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.7105846772396882,-2.966296181625029,2.255711504385341,5,complete,2,True,6.713661013346695e-05,0.00025,4.99954316467;5.00056713661,1233.4911794884829,local_close_pair_resolver,nan,nan,2.621971261435412,False,1.352200499997707,0.0013837000005878508,1.352200499997707,1.3536499999972875,dense
-6.0,1:1,1,0.001,6,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,-0.5254151590565699,-2.039542930211315,1.5141277711547452,3,complete,2,True,1.1987860048634502e-05,0.00025,4.99951198786;5.00048842507,169.2016144245863,split_0.40_over_T,nan,nan,2.7558733787187593,False,4.2761977999980445,0.013515999999071937,4.2761977999980445,4.289812399998482,dense
-6.0,1:1,1,0.001,7,5.0,4.9995,5.0005,0.01,0.01,0.014108635131604638,0.034955406055438676,-1.0937887469203327,1.1287441529757714,2,complete,2,True,7.269856045954981e-05,0.00025,4.99955177253;5.00057269856,156.3969894470647,split_0.40_over_T,nan,nan,2.630192996267737,False,1.5534833999990951,0.0016826999999466352,1.5534833999990951,1.5552392000026884,dense
-6.0,1:1,1,0.002,0,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,-0.16429491987021283,-2.639989128034358,2.4756942081641453,6,complete,2,True,0.0001572292013793941,0.0005,4.9988427708;5.00091323955,1930.2118586087017,split_0.65_over_T,nan,nan,1.2215647951408874,False,4.744795799997519,0.015926000000035856,4.744795799997519,4.760881399997743,dense
-6.0,1:1,1,0.002,1,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,1.4702347522310983,-1.173107695679792,2.6433424479108902,6,complete,2,True,0.00018662209225084325,0.0005,4.99918662209;5.00117951646,1787.99161641323,local_close_pair_resolver,nan,nan,1.2741167787743752,False,1.532399700001406,0.0014859999937471002,1.532399700001406,1.5339405999984592,dense
