layout,snr_db,fault_label,frequency_hz,amplitude,pd
bearing_left+gearbox_left+output_shaft,-25.0,4Hz,3.999998173832588,0.01910292277864388,0.010227272727272727
bearing_left+gearbox_left+output_shaft,-25.0,8Hz,7.9999285714666994,0.024889351734884123,0.013636363636363636
bearing_left+gearbox_left+output_shaft,-25.0,13Hz,13.00008888535092,0.010502919663465827,0.004545454545454545
bearing_left+gearbox_left+output_shaft,-25.0,14Hz,14.000023485389159,0.04005274094917999,0.3397727272727273
bearing_left+gearbox_left+output_shaft,-20.0,4Hz,3.999998173832588,0.01910292277864388,0.12954545454545455
bearing_left+gearbox_left+output_shaft,-20.0,8Hz,7.9999285714666994,0.024889351734884123,0.19204545454545455
bearing_left+gearbox_left+output_shaft,-20.0,13Hz,13.00008888535092,0.010502919663465827,0.031818181818181815
bearing_left+gearbox_left+output_shaft,-20.0,14Hz,14.000023485389159,0.04005274094917999,0.9875
bearing_left+gearbox_left+output_shaft,-15.0,4Hz,3.999998173832588,0.01910292277864388,0.7340909090909091
bearing_left+gearbox_left+output_shaft,-15.0,8Hz,7.9999285714666994,0.024889351734884123,0.9227272727272727
bearing_left+gearbox_left+output_shaft,-15.0,13Hz,13.00008888535092,0.010502919663465827,0.2988636363636364
bearing_left+gearbox_left+output_shaft,-15.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-12.0,4Hz,3.999998173832588,0.01910292277864388,0.9886363636363636
bearing_left+gearbox_left+output_shaft,-12.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-12.0,13Hz,13.00008888535092,0.010502919663465827,0.6204545454545455
bearing_left+gearbox_left+output_shaft,-12.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-10.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-10.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-10.0,13Hz,13.00008888535092,0.010502919663465827,0.8954545454545455
bearing_left+gearbox_left+output_shaft,-10.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-5.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-5.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-5.0,13Hz,13.00008888535092,0.010502919663465827,1.0
bearing_left+gearbox_left+output_shaft,-5.0,14Hz,14.000023485389159,0.04005274094917999,1.0
