amplitude_case,separation_hz,rayleigh_multiples,runs,main_success_rate,main_ci95_low,main_ci95_high,music_success_rate,music_ci95_low,music_ci95_high,median_condition_design,max_condition_design,ill_conditioned_rate,mean_main_runtime_seconds,mean_music_runtime_seconds,priority_for_more_runs
equal,0.00025,0.1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0966359115976718,1.2458361883530422,0.0,0.07927273333383103,0.028992933333696177,False
equal,0.0005,0.2,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0713686442758164,1.2470498590056631,0.0,0.09524460999988757,0.03571929000002759,False
equal,0.00075,0.3,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0875544541804842,1.2467309183092352,0.0,0.0990811133335228,0.036598123333533294,False
equal,0.001,0.4,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1174968818379485,208.1135170466213,0.0,0.10805267000008219,0.038964413333451374,False
equal,0.0015,0.6,30,0.06666666666666667,0.01847663532769335,0.21323817721072091,0.03333333333333333,0.0059084379948573795,0.16670751396958874,1.0838070264922322,1.6045885591228246,0.0,0.13243576999981693,0.0441757866666497,False
equal,0.002,0.8,30,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.13333333333333333,0.05309569424218104,0.2968168394441695,1.1084637851278325,1.4894770228796135,0.0,0.16172972333297367,0.05186697333216823,False
equal,0.0025,1.0,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.6333333333333333,0.45513246433604937,0.7812629779598231,1.1505930547821475,1.2174347708711062,0.0,0.15275395333204264,0.04756641333248505,True
equal,0.003,1.2,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.2270561851893855,1.3925077281522713,0.0,0.15437562999941293,0.04816979000000477,True
equal,0.004,1.6,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.2020702094240816,1.2470280570527417,0.0,0.15016525666724193,0.04779173000109343,True
equal,0.005,2.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.011302560632863,1.0621193225667453,0.0,0.15574469999846768,0.048371380000025964,True
equal,0.0075,3.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0050690146024173,1.021350608010532,0.0,0.16244019333268322,0.048250533334066856,True
equal,0.01,4.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0054113552567325,1.0174257135771803,0.0,0.15363322666768606,0.045669946667718855,True
unequal,0.00025,0.1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.075654606309967,1.238479470851041,0.0,0.15301389666710746,0.046751663333028166,False
unequal,0.0005,0.2,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.097291218866944,1.2468327015807819,0.0,0.1508882566668035,0.046487209999516686,False
unequal,0.00075,0.3,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0943314085715348,1.648183867778331,0.0,0.15549631000030786,0.046468816666310885,False
unequal,0.001,0.4,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1254552745888424,1.4169738657072755,0.0,0.15892840333326602,0.04739570666788495,False
unequal,0.0015,0.6,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1247799199337623,1.6708044745378006,0.0,0.15169334333428802,0.046929360000406935,False
unequal,0.002,0.8,30,0.43333333333333335,0.2737723743061511,0.6080299045459127,0.06666666666666667,0.01847663532769335,0.21323817721072091,1.143409529446759,2.465735608540404,0.0,0.1474186566665594,0.045932870000736634,False
unequal,0.0025,1.0,30,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.1,0.03459925995971615,0.25621441315266624,1.1716694364748697,3.088144838477217,0.0,0.15120002333375548,0.04621804666579313,False
unequal,0.003,1.2,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.5666666666666667,0.3919700954540873,0.7262276256938489,1.227801428471516,1.2466452957526544,0.0,0.15579239666694775,0.047831486667079544,True
unequal,0.004,1.6,30,1.0,0.8864829086095221,1.0,0.9333333333333333,0.7867618227892791,0.9815233646723066,1.2047979393325248,1.239706023271228,0.0,0.15610139666678152,0.04651431333331857,True
unequal,0.005,2.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.021065528426493,1.0728639488580762,0.0,0.15134609666589918,0.04581856000004336,True
unequal,0.0075,3.0,30,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,0.8864829086095221,1.0,1.0132955222041433,2.1696779048732355,0.0,0.15107959333302765,0.04625320333337489,True
unequal,0.01,4.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0071503294572333,1.025270235382806,0.0,0.1542092033329633,0.04657639666547766,True
