replicate,sample_count,glrt_score,glrt_threshold,false_alarm,runtime_seconds
0,40001,24.835895953995546,28.307723689158674,False,0.0021229000412859023
1,40001,24.15011327659193,28.307723689158674,False,0.0022022000048309565
2,40001,19.05527713873517,28.307723689158674,False,0.0016593000036664307
3,40001,18.27192794838835,28.307723689158674,False,0.001965800009202212
4,40001,19.859999081967214,28.307723689158674,False,0.0022199000231921673
5,40001,21.17967661483988,28.307723689158674,False,0.0021553999977186322
6,40001,17.301668565127404,28.307723689158674,False,0.0016105000395327806
7,40001,19.04059257862255,28.307723689158674,False,0.0022615999914705753
8,40001,20.63610922765018,28.307723689158674,False,0.002131399989593774
9,40001,21.43858268549293,28.307723689158674,False,0.0019631999894045293
10,40001,18.949638340132424,28.307723689158674,False,0.001887999998871237
11,40001,18.975071068231816,28.307723689158674,False,0.0030319999787025154
12,40001,23.173028435962713,28.307723689158674,False,0.001828499953262508
13,40001,20.094212622283074,28.307723689158674,False,0.0017089999746531248
14,40001,18.125074155302112,28.307723689158674,False,0.0016083000227808952
15,40001,24.966751340128358,28.307723689158674,False,0.0017768999678082764
16,40001,19.38701405462196,28.307723689158674,False,0.0017980000120587647
17,40001,22.83126802666481,28.307723689158674,False,0.0016959999920800328
18,40001,26.984852231455378,28.307723689158674,False,0.001974400016479194
19,40001,25.126042151985928,28.307723689158674,False,0.0017481999821029603
20,40001,20.852777373378963,28.307723689158674,False,0.0018291000160388649
21,40001,18.15858641840318,28.307723689158674,False,0.0018615999724715948
22,40001,18.965146644805642,28.307723689158674,False,0.0026473000179976225
23,40001,22.478284891420724,28.307723689158674,False,0.00279880000744015
24,40001,20.73555623969355,28.307723689158674,False,0.002056299999821931
25,40001,16.876046075930013,28.307723689158674,False,0.0026632999652065337
26,40001,21.388089137004087,28.307723689158674,False,0.002480700029991567
27,40001,21.538686944432836,28.307723689158674,False,0.0021912999800406396
28,40001,17.901046128244868,28.307723689158674,False,0.002119799959473312
29,40001,23.32833865150716,28.307723689158674,False,0.0025044999783858657
30,40001,18.165612937365463,28.307723689158674,False,0.001797800010535866
31,40001,21.54861737313301,28.307723689158674,False,0.0023113000206649303
32,40001,20.72349157652991,28.307723689158674,False,0.0023597999825142324
33,40001,20.82672915371969,28.307723689158674,False,0.0026297999429516494
34,40001,21.739578406958323,28.307723689158674,False,0.002349400019738823
35,40001,20.936265556772923,28.307723689158674,False,0.0018502000020816922
36,40001,18.191247845748293,28.307723689158674,False,0.0022671999759040773
37,40001,20.728722960754972,28.307723689158674,False,0.0023471000022254884
38,40001,19.157928774495325,28.307723689158674,False,0.002113900030963123
39,40001,18.35549709208447,28.307723689158674,False,0.0022477000020444393
40,40001,20.726422871129905,28.307723689158674,False,0.0027372000040486455
41,40001,20.308031738295398,28.307723689158674,False,0.0025003000046126544
42,40001,20.68099701541201,28.307723689158674,False,0.001660000008996576
43,40001,25.367271635565782,28.307723689158674,False,0.0016523999511264265
44,40001,21.18509213880711,28.307723689158674,False,0.0031148000271059573
45,40001,22.156935408134256,28.307723689158674,False,0.002189599967096001
46,40001,23.111448109465478,28.307723689158674,False,0.00183859997196123
47,40001,22.265110857216555,28.307723689158674,False,0.001978499989490956
48,40001,21.595778687004096,28.307723689158674,False,0.0017610000213608146
49,40001,18.93870418039066,28.307723689158674,False,0.0017517000087536871
