point_index,point_id,region,x,y,z,nx,ny,nz,noise_std,installable,response_abs_4Hz,response_phase_4Hz,response_abs_8Hz,response_phase_8Hz,response_abs_13Hz,response_phase_13Hz,response_abs_14Hz,response_phase_14Hz
31,v1_p031,bearing_zone_right,1.0703089059842998,-0.3379901226781119,0.1692213416587413,0.18852899469527634,-0.08268762629747164,0.9785803874064094,1.0226784124607398,True,0.1546829085550471,-1.383029397632035,0.8124167587868295,-1.6767386275443716,0.18067203414363606,-2.620656181510982,0.3237473907994535,-2.594468702170599
32,v1_p032,gearbox_zone_left,-0.45798109757178795,0.32390873107342427,0.5104611275803774,-0.08189165708113642,0.08044188963040563,0.9933895806244372,0.9124220784466316,True,0.3827447695425247,-0.5231171039866745,0.23481545221427025,-1.7249910563441027,0.8760436970438444,-1.9550051766471612,0.2695317810084113,-2.193275289718291
33,v1_p033,gearbox_zone_right,0.41721898725570644,0.509699545001049,0.48423598616870367,0.07429117929043039,0.12605350826470105,0.9892377538963008,1.1363609183601486,True,0.17739023551737887,-2.998037028848018,0.5065949450453834,-0.475744858646245,0.4002299791567378,-2.877271702791586,0.9943130966314763,-2.139028235948594
34,v1_p034,input_shaft_zone,-1.120443862318277,0.10805009588820963,-0.12851760339478585,-0.1976300093083648,0.026470091916139988,0.9799192383327959,1.5768362420088808,False,0.6835181341373899,-2.9494375115423637,0.1614140262615695,-2.183405458440377,0.3325111125506436,-2.9973567504280796,0.15162647437531995,-0.9460581057706335
35,v1_p035,output_shaft_zone,1.161719684963344,0.048428674651934206,-0.1610514999268021,0.204667997876268,0.011850009000910688,0.9787597192018062,0.9168534869627597,True,0.12154257336873563,-0.006423790981581015,0.6680874629151542,1.1571133939169884,0.23323291824986037,-0.5387566733687001,0.41085811793731625,-1.3069060099623269
36,v1_p036,bearing_zone_left,-0.9991219101148585,-0.3150016063467368,0.2548187591768768,-0.17647304546750728,-0.07727520568643759,0.981267449174557,0.9786518277404989,True,1.1472117647956785,2.2495634836028513,0.18118738278714855,1.0870398154595116,0.24676228697058913,2.1589850018975616,0.13930353551860064,1.885332651353329
37,v1_p037,bearing_zone_right,1.12093933005153,-0.519988469966599,0.15895693142154219,0.19619676208599793,-0.1264069480172404,0.9723826993730076,1.0537890226616151,True,0.14901060768536065,-1.0612938089191055,0.6042186166908257,-0.15706766883778503,0.16583041001674192,-0.3423621746341835,0.2877495840454582,0.3988889399150776
38,v1_p038,gearbox_zone_left,-0.659231886116315,0.4324583781867226,0.5311323449121935,-0.11716174902584649,0.10674792941333344,0.9873591059645779,0.9266032313354032,True,0.41109524951007553,-0.7107776487122045,0.20208032909241505,0.3209902962119059,0.8227157093270754,-0.9379554861472853,0.23988552865835677,0.5044850047396839
39,v1_p039,gearbox_zone_right,0.6633806995112042,0.5316156292741699,0.49540823282149854,0.1175471040261634,0.13083211018422025,0.984411315091312,1.3370787331660106,True,0.15245848907989554,-1.939998142765655,0.5691765775664791,-1.2846157142849077,0.3196461893525113,0.6645930088530208,1.157753064826314,-2.8755977738413763
40,v1_p040,input_shaft_zone,-1.28221704495688,-0.03282002816975152,-0.11153806439419589,-0.22487992290590197,-0.00799457886202732,0.974353686800976,1.2556370404406334,True,0.7176202735536931,3.0757413751046103,0.1505443012523812,-0.8360486806105891,0.26424447007974516,-0.1388129899083995,0.1269261797169427,2.116891197545739
41,v1_p041,output_shaft_zone,1.154130993078474,0.23425908104143284,-0.09890159848858786,0.2030672529538806,0.05724647225184044,0.97748991411292,0.9025586179582976,True,0.12312392225219775,0.060453483912320256,0.510523928848083,2.136523906012943,0.24471689638370556,-1.7909495576104757,0.4737755422730257,2.6407469798659156
42,v1_p042,bearing_zone_left,-0.7781794528048965,-0.4955938616884062,0.18432517973522708,-0.13768548457371138,-0.12178724891578073,0.9829601077048997,0.9455674983233022,True,0.7448335228104733,3.126899640848334,0.20161332533112358,-0.7591284403886548,0.22808268716252234,2.9263594098215178,0.14118248220109308,0.8328651223350706
43,v1_p043,bearing_zone_right,0.7953721505822025,-0.4987587253832174,0.157197232599201,0.14065452941063128,-0.12250148450227538,0.982450858644346,1.0674173979354311,True,0.17939050091748954,-2.552727963767522,0.5913635583159481,-0.3916683671611543,0.19030615710685286,2.1976444982561913,0.30426962787172357,-1.4773104000808255
44,v1_p044,gearbox_zone_left,-0.4000481316977242,0.5817423276377391,0.5827923181161991,-0.07107875469718564,0.14355744876821852,0.9870861510191791,0.8803040827137839,True,0.31930368408485377,0.5141183216659005,0.22966850013300988,-1.0640048547540146,1.2185829026943598,2.525038475945889,0.3086664005878105,2.5430283829092195
45,v1_p045,gearbox_zone_right,0.6067198105572391,0.29023120804732994,0.4701738821963902,0.10828276792228975,0.07194204620656681,0.9915135824378299,1.3726406154996886,True,0.16425101722448646,-2.5537644694243125,0.6728568118792736,-2.804740841454152,0.309802634124768,0.6916879439803403,0.7697079061676807,0.043619244485433716
46,v1_p046,input_shaft_zone,-1.4578408471377104,0.1738747421102563,-0.11144814580421807,-0.25359385829602654,0.042008059383142185,0.9663981984572391,1.2509402270866392,True,0.4377657421577359,-2.05049683053081,0.1365852473971015,0.954484972653506,0.2457592201041651,0.675791999004537,0.1202934126504413,-2.5037081392680935
47,v1_p047,output_shaft_zone,1.469790933988138,0.17082292053640602,-0.05760606263231192,0.25554520921865664,0.041250177867672065,0.9659166987226582,1.0358858838621248,True,0.10704484680847093,1.439648406734635,0.404277762241249,-2.687279752350229,0.18906796991386082,2.728070703911824,0.3297910137847094,0.39055829276193327
48,v1_p048,bearing_zone_left,-1.0404497884088113,-0.5017652945750949,0.17530868255096807,-0.18269707655468614,-0.12237102412706666,0.9755240185010638,0.9256700614974142,True,0.9365249547550667,2.586189172723034,0.17199565427204605,1.6120302597293155,0.21097668741542264,-1.3960790008533595,0.12578514146724257,-2.0802273492374126
49,v1_p049,bearing_zone_right,0.9832038096773704,-0.3613373032094639,0.17941456397471703,0.17358323269785628,-0.08860220333892974,0.9808254232480155,0.9426034717725911,True,0.1627830337281127,-1.7694895941955946,0.8151856363304053,-1.7095816170326092,0.18722878043103636,2.830273633908827,0.3269347975443817,-2.829333725470325
