scenario,description,best_layout,best_score,best_low_snr_pd_source,best_mean_p_fa
balanced,敏感度和噪声相对均衡,bearing_left+gearbox_left+output_shaft,0.6435677083333333,0.5375,0.01
spatial_noise_skew,齿轮箱右侧和输入轴侧噪声明显偏大,bearing_left+gearbox_left+output_shaft,0.6827734375,0.603125,0.016666666666666666
weak_single_sensor,部分测点安装耦合差或局部失敏,bearing_left+gearbox_left+output_shaft,0.6435677083333333,0.5375,0.01
source_shadow,部分故障源到若干测点传播衰减更强,bearing_left+gearbox_left+gearbox_right,0.6355468750000001,0.5375000000000001,0.016666666666666666
