scenario,case,separation_hz,phase_1_rad,phase_2_rad,wrapped_phase_difference_rad,noise_replicate,estimated_k,success,failure_type,max_frequency_error_hz,estimated_frequencies_hz,bic_improvement,residual_peak_ratio,candidate_origin,condition_design,runtime_seconds
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,0,1,True,none,nan,13.50182495,959.851599609683,9.764916712455213,peel_residual_rescan,1.182371113024026,0.05530529998941347
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,1,1,True,none,nan,13.49413823,33.22265518567292,8.990418674583088,fine_grid_secondary_peak,1.0372941928528714,0.05410420004045591
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,2,1,True,none,nan,13.50909265,-12.71346934849862,2.148936248723065,fine_grid_secondary_peak,1.073418265468438,0.05036989995278418
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,3,1,True,none,nan,13.49416548,79.9981486807228,7.083668241381857,fine_grid_secondary_peak,1.0236702189480118,0.04736389999743551
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,4,1,True,none,nan,13.48913136,-9.351773927424802,13.450779784791493,fine_grid_secondary_peak,1.1748127457404378,0.046739700017496943
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,5,1,True,none,nan,13.48981303,-23.544866042007925,7.002551960944493,fine_grid_secondary_peak,1.0261800227998745,0.04477599996607751
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,6,1,True,none,nan,13.50919969,19.826684707193635,6.578768055013595,fine_grid_secondary_peak,1.007839164359861,0.04533910000463948
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,7,1,True,none,nan,13.51048574,-5.106176834582584,9.190501394383768,peel_residual_rescan,1.03731682213263,0.044965799956116825
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,8,1,True,none,nan,13.50184995,49.3304985978466,8.719797633894107,peel_residual_rescan,1.0713331262489758,0.04496679996373132
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,9,1,True,none,nan,13.49751353,20.713716193160508,5.433816246232155,peel_residual_rescan,1.0632883998740048,0.04645699996035546
