amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,0,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,43.97389607093646,peel_residual_rescan,3.641223986263992,2.5e-05,1.2286977153316723,1.5096980756612712,0.8926973725551124,5,5,False,1,nan,False,2.5e-05,0.0597950000083074,0.019192399980966002,13.502024949426515,nan,13.499975,nan
equal,0.00025,1,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,1207.73355606955,adaptive_split_2.00_over_T,4.872545050043685,2.5e-05,1.1291303730910767,1.274935399436794,0.9376277743412343,5,5,False,1,nan,False,2.5e-05,0.044981999963056296,0.014667999988887459,13.498450038698783,nan,13.499925,nan
equal,0.00025,2,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,996.4194946063508,adaptive_split_1.50_over_T,4.188840978475846,2.5e-05,1.219572810772542,1.4873578407756387,0.8966973158477222,5,5,False,1,nan,False,2.5e-05,0.04665299999760464,0.015295199991669506,13.501799955051375,nan,13.500075,nan
equal,0.00025,3,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,604.67931991152,fine_grid_secondary_peak,7.143933795487619,2.5e-05,1.1013153540122054,1.2128955089830293,0.9506804085317784,5,5,False,1,nan,False,2.5e-05,0.05275989999063313,0.01520109997363761,13.501699957551311,nan,13.50005,nan
equal,0.00025,4,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-34.674009511683835,fine_grid_secondary_peak,9.673710815667743,2.5e-05,1.076132992705961,1.158062217990288,0.9626823643388907,5,5,False,1,nan,False,2.5e-05,0.04618290002690628,0.013481999980285764,13.5019999500515,nan,13.499975,nan
equal,0.00025,5,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,1284.3359735822014,fine_grid_secondary_peak,3.6886313729935436,2.5e-05,1.0590943712107996,1.1216808871303992,0.9709010388424743,5,5,False,1,nan,False,2.5e-05,0.04795310000190511,0.014894300024025142,13.501574960676233,nan,13.49995,nan
equal,0.00025,6,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,177.13303362953593,adaptive_split_0.15_over_T,5.491760227323994,2.5e-05,1.00746980417712,1.0149954063286843,0.99627210012491,5,5,False,1,nan,False,2.5e-05,0.04880970000522211,0.015366800012998283,13.498550036198845,nan,13.4999,nan
equal,0.00025,7,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-21.814279542741133,peel_residual_rescan,5.593782379135295,2.5e-05,1.0276680983056514,1.0561017202751541,0.9862627995625486,5,5,False,2,0.0011250000000000426,False,2.5e-05,0.0550160999991931,0.014909700024873018,13.501674958176295,nan,13.499125,13.501
equal,0.00025,8,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,316.17862054894795,fine_grid_secondary_peak,3.9036581862750577,2.5e-05,1.2160042723895286,1.4786663904695867,0.898268062540938,5,5,False,1,nan,False,2.5e-05,0.046389800030738115,0.014339399989694357,13.501399965051124,nan,13.4999,nan
equal,0.00025,9,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,238.345580464229,peel_residual_rescan,6.140305478983613,2.5e-05,1.0175089046267864,1.0353243709948028,0.9912841939406545,5,5,False,1,nan,False,2.5e-05,0.04921560001093894,0.015505799965467304,13.50164995880128,nan,13.50005,nan
equal,0.00025,10,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,2.355528156622313,fine_grid_secondary_peak,7.732668712624995,2.5e-05,1.0154618973603218,1.0311628649906246,0.9922991594570371,5,5,False,1,nan,False,2.5e-05,0.04961340001318604,0.01971710001816973,13.497532703582126,nan,13.49995,nan
equal,0.00025,11,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,29.46546896811924,adaptive_split_0.65_over_T,3.9005760198910906,2.5e-05,1.0894977577602933,1.187005364164707,0.9562910007034005,5,5,False,1,nan,False,2.5e-05,0.04893410002114251,0.020233800052665174,13.498525036823828,nan,13.500774999999999,nan
equal,0.00025,12,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,2,0.007362764381559472,False,944.4237414016679,fine_grid_secondary_peak,12.713327701686138,2.5e-05,1.0643186522571177,1.1327741935424076,0.9683727485563727,5,5,False,1,nan,False,2.5e-05,0.05538999999407679,0.015166400000452995,13.49251223561844,13.499548285590963,13.4999,nan
equal,0.00025,13,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-8.055507793324068,peel_residual_rescan,10.304392547875251,2.5e-05,1.1038603580738962,1.2185076901270302,0.9494771742114743,5,5,False,1,nan,False,2.5e-05,0.04672939999727532,0.013351799978408962,13.501749956301342,nan,13.500399999999999,nan
