case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz,candidate_origin,residual_peak_ratio
very_low_snr_-25,29,40001,4,4,1,False,10.000028520455881,gaussian,True,1.0000378546122035,False,0.22132469998905435,3.99999817;7.99992857;13.0000889;14.0000235,14.0000267,,nan
very_low_snr_-25,30,40001,4,4,1,False,10.000211648757478,gaussian,True,1.0000537142292432,False,0.20492190000368282,3.99999817;7.99992857;13.0000889;14.0000235,14.0002098,,nan
very_low_snr_-25,31,40001,4,4,1,False,10.000187671425564,gaussian,True,1.0000517822300528,False,0.21403050003573298,3.99999817;7.99992857;13.0000889;14.0000235,14.0001858,,nan
very_low_snr_-25,32,40001,4,4,1,False,9.999829960502964,gaussian,True,1.0000184323059595,False,0.21660400001564994,3.99999817;7.99992857;13.0000889;14.0000235,13.9998281,,nan
very_low_snr_-25,33,40001,4,4,1,False,9.999929925661224,gaussian,True,1.0000284311497203,False,0.21882070001447573,3.99999817;7.99992857;13.0000889;14.0000235,13.9999281,,nan
very_low_snr_-25,34,40001,4,4,1,False,9.999834161006692,gaussian,True,1.0000188594238635,False,0.09504429996013641,3.99999817;7.99992857;13.0000889;14.0000235,13.9998323,,nan
very_low_snr_-25,35,40001,4,4,1,False,10.000049901733721,gaussian,True,1.0000398264199504,False,0.11207299999659881,3.99999817;7.99992857;13.0000889;14.0000235,14.0000481,,nan
very_low_snr_-25,36,40001,4,4,1,False,9.999883341360999,gaussian,True,1.0000238179535077,False,0.10255089995916933,3.99999817;7.99992857;13.0000889;14.0000235,13.9998815,,nan
very_low_snr_-25,37,40001,4,4,1,False,9.999920533049341,gaussian,True,1.0000275083453063,False,0.11370240000542253,3.99999817;7.99992857;13.0000889;14.0000235,13.9999187,,nan
very_low_snr_-25,38,40001,4,4,2,False,3.0000663592280197,gaussian,True,1.0000736368157008,False,0.25485130003653467,3.99999817;7.99992857;13.0000889;14.0000235,4.00004377;14.0000157,,nan
very_low_snr_-25,39,40001,4,4,1,False,10.000073500306453,gaussian,True,1.000041969271859,False,0.24508149997564033,3.99999817;7.99992857;13.0000889;14.0000235,14.0000717,,nan
very_low_snr_-25,40,40001,4,4,1,False,10.000238456229521,gaussian,True,1.000055816450962,False,0.10493979998864233,3.99999817;7.99992857;13.0000889;14.0000235,14.0002366,,nan
very_low_snr_-25,41,40001,4,4,1,False,10.000162468403175,gaussian,True,1.0000497008245544,False,0.24961699999403208,3.99999817;7.99992857;13.0000889;14.0000235,14.0001606,,nan
very_low_snr_-25,42,40001,4,4,1,False,9.999955741528847,gaussian,True,1.0000309467118618,False,0.24902980000479147,3.99999817;7.99992857;13.0000889;14.0000235,13.9999539,,nan
very_low_snr_-25,43,40001,4,4,1,False,9.999865547741653,gaussian,True,1.0000220334577545,False,0.10554310004226863,3.99999817;7.99992857;13.0000889;14.0000235,13.9998637,,nan
