amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,main_candidate_origin,main_residual_peak_ratio,main_conditional_glrt_statistic,main_conditional_glrt_threshold,main_frequency_ci_reliable,main_frequency_1_se_hz,main_frequency_2_se_hz,main_local_grid_step_hz,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,0,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-456.6809746977815,peel_residual_rescan,3.641223986263992,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1105384900608442,1.2332957379066196,0.9463284119871982,5,5,False,1,nan,False,2.5e-05,0.21769430005224422,0.020011400047224015,13.502024949426515,nan,13.499975,nan
equal,0.00025,1,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-26.50809593492886,peel_residual_rescan,4.872545050043685,1.7604358770671629,5.291862556499362,False,nan,nan,2.5e-05,1.045991229226451,1.094097651618662,0.9772744236425287,5,5,False,1,nan,False,2.5e-05,0.23208869999507442,0.01525900000706315,13.498450038698783,nan,13.499925,nan
equal,0.00025,2,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-19.58954280510079,adaptive_split_1.50_over_T,4.188840978475846,4.066720606809418,5.291862556499362,False,nan,nan,2.5e-05,1.1548586864207913,1.3336985856015555,0.9257476555613343,5,5,False,1,nan,False,2.5e-05,0.2508360000210814,0.015870200004428625,13.501799955051375,nan,13.500075,nan
equal,0.00025,3,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-53.559223903517704,peel_residual_rescan,7.143933795487619,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0301433606939512,1.061195343581828,0.9850435844853421,5,5,False,1,nan,False,2.5e-05,0.2380460999556817,0.015026200038846582,13.501699957551311,nan,13.50005,nan
equal,0.00025,4,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-402.283193446754,peel_residual_rescan,9.673710815667743,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.1744682690130448,1.3793757149184978,0.9168187478274856,5,5,False,1,nan,False,2.5e-05,0.24601860000984743,0.015779899957124144,13.5019999500515,nan,13.499975,nan
equal,0.00025,5,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-30.167349925322924,peel_residual_rescan,3.6886313729935436,0.5407927418041982,5.291862556499362,False,nan,nan,2.5e-05,1.094242741033844,1.1973671763052602,0.9540336312218096,5,5,False,1,nan,False,2.5e-05,0.24335389997577295,0.016610899998340756,13.501574960676233,nan,13.49995,nan
equal,0.00025,6,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-26.258020606444916,adaptive_split_0.10_over_T,5.491760227323994,1.8437909988453256,5.291862556499362,False,nan,nan,2.5e-05,1.0404226069738967,1.0824792011023594,0.9799968089546048,5,5,False,1,nan,False,2.5e-05,0.2536682999925688,0.016406200011260808,13.498550036198845,nan,13.4999,nan
equal,0.00025,7,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-18.39978755041375,peel_residual_rescan,5.593782379135295,4.463363146734657,5.291862556499362,False,nan,nan,2.5e-05,1.0580778256102161,1.119528685048043,0.9713938569325234,5,5,False,2,0.0011250000000000426,False,2.5e-05,0.22582560003502294,0.016221199999563396,13.501674958176295,nan,13.499125,13.501
equal,0.00025,8,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-22.427238823118387,fine_grid_secondary_peak,3.9036581862750577,3.120732521420693,5.291862556499362,False,nan,nan,2.5e-05,1.1667550716235866,1.3613173971593606,0.9203177842368179,5,5,False,1,nan,False,2.5e-05,0.25054140004795045,0.01686519995564595,13.501399965051124,nan,13.4999,nan
equal,0.00025,9,40001,0.02,0.02,-16.979258565524646,-16.979258565524646,1,nan,False,-160.07625794227351,peel_residual_rescan,6.140305478983613,0.0,5.291862556499362,False,nan,nan,2.5e-05,1.0175050261994087,1.0353164783410596,0.9912862736669621,5,5,False,1,nan,False,2.5e-05,0.2500213999883272,0.01691430003847927,13.50164995880128,nan,13.50005,nan
