scenario,description,best_layout,best_score,best_low_snr_pd_source,best_mean_p_fa
balanced,敏感度和噪声相对均衡,bearing_left+gearbox_left+gearbox_right,0.2267703160430839,0.3517857142857143,0.04408163265306122
spatial_noise_skew,齿轮箱右侧和输入轴侧噪声明显偏大,bearing_left+gearbox_left+output_shaft,0.25962619047619045,0.3826190476190476,0.04285714285714286
weak_single_sensor,部分测点安装耦合差或局部失敏,bearing_left+bearing_right+gearbox_left,0.22670790107709754,0.3484523809523809,0.0463265306122449
source_shadow,部分故障源到若干测点传播衰减更强,bearing_left+bearing_right+output_shaft,0.20824666950113377,0.3352380952380952,0.04469387755102041
