case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz
very_low_snr_-25,0,40001,4,4,1,False,10.00021243943198,gaussian,True,1.0000537779567027,False,0.34763979999843286,3.99999818;7.99992873;13.0000886;14.0000242,14.0002106
very_low_snr_-25,1,40001,4,4,2,False,3.0000852115339365,gaussian,True,1.0000807448494853,False,0.3193807999996352,3.99999818;7.99992873;13.0000886;14.0000242,3.99999999;14.0000973
very_low_snr_-25,2,40001,4,4,1,False,9.999812633443247,gaussian,True,1.0000166662258023,False,0.308993400001782,3.99999818;7.99992873;13.0000886;14.0000242,13.9998108
very_low_snr_-25,3,40001,4,4,1,False,10.000415698372572,gaussian,True,1.000068017692587,False,0.14206439999543363,3.99999818;7.99992873;13.0000886;14.0000242,14.0004139
very_low_snr_-25,4,40001,4,4,1,False,9.999919066061631,gaussian,True,1.0000273649072042,False,0.13279440000042086,3.99999818;7.99992873;13.0000886;14.0000242,13.9999173
very_low_snr_-25,5,40001,4,4,1,False,10.00026236962295,gaussian,True,1.0000576391321632,False,0.14446809999935795,3.99999818;7.99992873;13.0000886;14.0000242,14.0002606
very_low_snr_-25,6,40001,4,4,2,False,4.999889107547518,gaussian,True,1.0000281290819169,False,0.5762920999986818,3.99999818;7.99992873;13.0000886;14.0000242,7.99993706;13.9997681
very_low_snr_-25,7,40001,4,4,1,False,10.000146178152617,gaussian,True,1.0000483297223046,False,0.34112300000560936,3.99999818;7.99992873;13.0000886;14.0000242,14.0001444
very_low_snr_-25,8,40001,4,4,1,False,10.000036840112786,gaussian,True,1.000038626163075,False,0.32302460000209976,3.99999818;7.99992873;13.0000886;14.0000242,14.000035
very_low_snr_-25,9,40001,4,4,1,False,9.9999923968851,gaussian,True,1.0000344629134648,False,0.16276880000077654,3.99999818;7.99992873;13.0000886;14.0000242,13.9999906
very_low_snr_-25,10,40001,4,4,1,False,9.999714874763091,gaussian,True,1.000006572374574,False,0.16007349999563303,3.99999818;7.99992873;13.0000886;14.0000242,13.9997131
very_low_snr_-25,11,40001,4,4,1,False,10.000208857988115,gaussian,True,1.0000534926767437,False,0.1624117999963346,3.99999818;7.99992873;13.0000886;14.0000242,14.000207
very_low_snr_-25,12,40001,4,4,1,False,9.999969648939109,gaussian,True,1.000032289565838,False,0.1670938999959617,3.99999818;7.99992873;13.0000886;14.0000242,13.9999678
very_low_snr_-25,13,40001,4,4,1,False,10.000174372258376,gaussian,True,1.0000506911245914,False,0.3079397000037716,3.99999818;7.99992873;13.0000886;14.0000242,14.0001726
very_low_snr_-25,14,40001,4,4,1,False,10.000079330208218,gaussian,True,1.0000424939847041,False,0.19753160000254866,3.99999818;7.99992873;13.0000886;14.0000242,14.0000775
very_low_snr_-25,15,40001,4,4,1,False,9.999737216862995,gaussian,True,1.000008893533145,False,0.19904139999562176,3.99999818;7.99992873;13.0000886;14.0000242,13.9997354
very_low_snr_-25,16,40001,4,4,2,False,4.9999272703486675,gaussian,True,1.0000599734865028,False,0.45102179999958025,3.99999818;7.99992873;13.0000886;14.0000242,7.9998552;13.9999263
very_low_snr_-25,17,40001,4,4,1,False,9.999963062280278,gaussian,True,1.0000316552681503,False,0.42579919999843696,3.99999818;7.99992873;13.0000886;14.0000242,13.9999612
very_low_snr_-25,18,40001,4,4,1,False,9.999944533101258,gaussian,True,1.000029859408867,False,0.21044889999757288,3.99999818;7.99992873;13.0000886;14.0000242,13.9999427
very_low_snr_-25,19,40001,4,4,1,False,10.000003940950121,gaussian,True,1.000035555175439,False,0.3801108000043314,3.99999818;7.99992873;13.0000886;14.0000242,14.0000021
very_low_snr_-25,20,40001,4,4,2,False,4.99974042598555,gaussian,True,1.0000661526160795,False,0.49232450000272365,3.99999818;7.99992873;13.0000886;14.0000242,7.99960287;13.9998049
