layout,regions,benchmark,validation_score,mean_pd_source,low_snr_pd_source,mean_min_pd_source,mean_p_fa,false_alarm_excess,validation_rank,validated_role
v1_p015+v1_p021+v1_p026,gearbox_zone_right+gearbox_zone_right+gearbox_zone_left,v1_max_response_three,0.36250000000000004,0.48333333333333334,0.3,0.20000000000000004,0.05000000000000001,6.938893903907228e-18,1,v1_validated_best
v1_p026+v1_p021+v1_p012,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_candidate,0.32687499999999997,0.43333333333333335,0.2625,0.19999999999999998,0.0,0.0,2,v1_validated_candidate
v1_p012+v1_p026+v1_p035,bearing_zone_left+gearbox_zone_left+output_shaft_zone,v1_v0_region_baseline,0.3035416666666666,0.425,0.1875,0.2333333333333333,0.05000000000000001,6.938893903907228e-18,3,v1_validated_candidate
v1_p021+v1_p002+v1_p018,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,0.28479166666666667,0.4583333333333333,0.2625,0.26666666666666666,0.08333333333333333,0.033333333333333326,4,v1_validated_candidate
v1_p012+v1_p023+v1_p033,bearing_zone_left+output_shaft_zone+gearbox_zone_right,v1_spaced_three,0.24166666666666664,0.3666666666666667,0.2,0.03333333333333333,0.05000000000000001,6.938893903907228e-18,5,v1_validated_candidate
v1_p026+v1_p021+v1_p018,gearbox_zone_left+gearbox_zone_right+bearing_zone_left,v1_adaptive_best,0.2329166666666666,0.3416666666666666,0.15,0.13333333333333333,0.05000000000000001,6.938893903907228e-18,6,v1_validated_candidate
v1_p008+v1_p024+v1_p026,gearbox_zone_left+bearing_zone_left+gearbox_zone_left,v1_random_three,0.2316666666666667,0.3833333333333333,0.15,0.20000000000000004,0.06666666666666667,0.016666666666666663,7,v1_validated_candidate
v1_p021+v1_p002+v1_p012,gearbox_zone_right+gearbox_zone_left+bearing_zone_left,v1_adaptive_candidate,0.21979166666666666,0.3666666666666667,0.1375,0.19999999999999998,0.06666666666666667,0.016666666666666663,8,v1_validated_candidate
v1_p026+v1_p007+v1_p012,gearbox_zone_left+bearing_zone_right+bearing_zone_left,v1_adaptive_candidate,0.18854166666666666,0.39166666666666666,0.1875,0.2333333333333333,0.09999999999999999,0.04999999999999999,9,v1_validated_candidate
