amplitude_case,separation_hz,replicate,sample_count,amplitude_1,amplitude_2,component_1_snr_db,component_2_snr_db,main_estimated_k,main_max_frequency_error_hz,main_success,main_bic_improvement,condition_design,condition_normal,smallest_singular_value,numerical_rank,column_count,ill_conditioned,music_estimated_k,music_max_frequency_error_hz,music_success,music_grid_step_hz,main_runtime_seconds,music_runtime_seconds,main_frequency_1_hz,main_frequency_2_hz,music_frequency_1_hz,music_frequency_2_hz
equal,0.00025,0,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.00237817926499595,False,11.047547692731314,1.1309104230862086,1.2789583850450272,0.936799823901505,5,5,False,1,nan,False,2.5e-05,0.07876969999779249,0.025895099999615923,13.498095895429694,13.502503179264997,13.499975,nan
equal,0.00025,1,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.004517318765252298,False,67.94059464270322,1.1290139951949232,1.2746726013460021,0.9376819359098574,5,5,False,1,nan,False,2.5e-05,0.05480330000136746,0.02545329999702517,13.495357681234747,13.49977341457279,13.499925,nan
equal,0.00025,2,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0032384562974439035,False,25.24783134627978,1.044809053138442,1.0916259575200475,0.9778516398762263,5,5,False,1,nan,False,2.5e-05,0.05145690000063041,0.025079200000618584,13.496636543702555,13.501424348986987,13.500075,nan
equal,0.00025,3,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.005810872001950074,False,37.97117714846718,1.0768024952994812,1.1595036138831893,0.9623610016900245,5,5,False,1,nan,False,2.5e-05,0.07129140000324696,0.025018400003318675,13.49406412799805,13.501006953022285,13.50005,nan
equal,0.00025,4,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.005628403504815083,False,11.422613273216484,1.016498952849826,1.033270121144793,0.9917848237649929,5,5,False,1,nan,False,2.5e-05,0.056854000002203975,0.021999600001436193,13.494246596495184,13.501871494598554,13.499975,nan
equal,0.00025,5,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.008755980499827842,False,25.30170943192752,1.060131200970656,1.1238781632714856,0.9703986819332683,5,5,False,1,nan,False,2.5e-05,0.05132669999875361,0.026390699997136835,13.491119019500172,13.50051439841988,13.49995,nan
equal,0.00025,6,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006328355990925516,False,23.556465861667675,1.1330494977900334,1.283801164442247,0.9358060590926331,5,5,False,1,nan,False,2.5e-05,0.11924490000092192,0.038407700005336665,13.493546644009074,13.49949367353119,13.4999,nan
equal,0.00025,7,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006018529937529493,False,127.55335482864939,1.0271222739634835,1.0549801656719173,0.986531898220433,5,5,False,2,0.0008749999999988489,False,2.5e-05,0.07214430000021821,0.023763199998938944,13.49385647006247,13.501159084064808,13.499125,13.501
equal,0.00025,8,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0039582672060021196,False,92.7375470250663,1.2164429525525666,1.479733456814806,0.8980747726626318,5,5,False,1,nan,False,2.5e-05,0.05385119999846211,0.022848499997053295,13.495916732793997,13.499881557278036,13.4999,nan
equal,0.00025,9,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.006529156854432117,False,20.437654547753482,1.0161236989318845,1.032507371531015,0.9919711300504924,5,5,False,1,nan,False,2.5e-05,0.04715350000333274,0.023610399999597576,13.493345843145567,13.500968037854893,13.50005,nan
equal,0.00025,10,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0044044256241519975,False,84.24908213836898,1.0155250752959917,1.0312911785549295,0.9922678179444944,5,5,False,1,nan,False,2.5e-05,0.04931679999572225,0.022258199998759665,13.49714372993997,13.504529425624153,13.49995,nan
equal,0.00025,11,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.008038449049500684,False,63.943584062060836,1.0895103677961273,1.1870328415352527,0.9562849933674545,5,5,False,1,nan,False,2.5e-05,0.1264630000005127,0.03915930000221124,13.491836550950499,13.500231212200006,13.500774999999999,nan
equal,0.00025,12,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0041107504173663045,False,49.70455402849802,1.2197776913626883,1.4878576163460897,0.8966072311076714,5,5,False,1,nan,False,2.5e-05,0.07074789999751374,0.022775999997975305,13.495764249582633,13.49899783040623,13.4999,nan
equal,0.00025,13,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0076660913929504915,False,178.80201351989672,1.1037614553992163,1.2182893504249963,0.9495239001857769,5,5,False,1,nan,False,2.5e-05,0.04855959999986226,0.02104989999497775,13.501071534943874,13.507791091392951,13.500399999999999,nan
equal,0.00025,14,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.003222443801229602,False,11.091024747440315,1.1226409835386815,1.260322777920698,0.9406536854668787,5,5,False,1,nan,False,2.5e-05,0.1272473999997601,0.040603800000099,13.4968282912903,13.50334744380123,13.50005,nan
equal,0.00025,15,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.008419966117038769,False,30.187755219390965,1.0894201596040503,1.1868362841517144,0.9563279796251986,5,5,False,1,nan,False,2.5e-05,0.05499110000528162,0.025675199998659082,13.49145503388296,13.499847469106893,13.499925,nan
equal,0.00025,16,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,1,nan,False,-8.563365068877829,1.1139560959517603,1.2408981837080872,0.9447218047863869,5,5,False,1,nan,False,2.5e-05,0.054606500001682434,0.025292400001490023,13.501649868693315,nan,13.50005,nan
equal,0.00025,17,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.0079235592906155,False,110.75489066623231,1.077616087331488,1.161256431675625,0.9619706970845497,5,5,False,1,nan,False,2.5e-05,0.13001490000169724,0.04224959999555722,13.491951440709384,13.501127420243895,13.50005,nan
equal,0.00025,18,40001,0.02,0.02,-16.97925847835726,-16.97925847835726,2,0.010705351508581984,False,35.86568594507662,1.045278305018734,1.0926067349428374,0.9776225003451953,5,5,False,1,nan,False,2.5e-05,0.07332750000205124,0.023904900001070928,13.489169648491417,13.4996651189542,13.4992,nan
