replicate,sample_count,glrt_score,glrt_threshold,false_alarm,runtime_seconds
0,40001,24.835895953995546,29.869678849094605,False,0.01068430000304943
1,40001,24.15011327659193,29.869678849094605,False,0.003474800003459677
2,40001,19.05527713873517,29.869678849094605,False,0.0034325000015087426
3,40001,18.27192794838835,29.869678849094605,False,0.010076500002469402
4,40001,19.859999081967214,29.869678849094605,False,0.003304799996840302
5,40001,21.17967661483988,29.869678849094605,False,0.003515199998219032
6,40001,17.30166856512741,29.869678849094605,False,0.0036770000006072223
7,40001,19.040592578622547,29.869678849094605,False,0.009724800002004486
8,40001,20.636109227650174,29.869678849094605,False,0.0034196000051451847
9,40001,21.43858268549293,29.869678849094605,False,0.0041482000015093945
10,40001,18.949638340132424,29.869678849094605,False,0.0036400000026333146
11,40001,18.975071068231816,29.869678849094605,False,0.003588599996874109
12,40001,23.173028435962713,29.869678849094605,False,0.010127299996383954
13,40001,20.09421262228307,29.869678849094605,False,0.0032815999948070385
14,40001,18.125074155302112,29.869678849094605,False,0.003852599998936057
15,40001,24.966751340128358,29.869678849094605,False,0.0036796999993384816
16,40001,19.387014054621957,29.869678849094605,False,0.004106100001081359
17,40001,22.83126802666481,29.869678849094605,False,0.004028400006063748
18,40001,26.984852231455392,29.869678849094605,False,0.009856500000751112
19,40001,25.126042151985928,29.869678849094605,False,0.003415099999983795
20,40001,20.852777373378963,29.869678849094605,False,0.004970300004060846
21,40001,18.158586418403182,29.869678849094605,False,0.004482100004679523
22,40001,18.965146644805642,29.869678849094605,False,0.0039882000055513345
23,40001,22.478284891420724,29.869678849094605,False,0.004728400002932176
24,40001,20.73555623969355,29.869678849094605,False,0.004727600004116539
25,40001,16.876046075930013,29.869678849094605,False,0.011742499998945277
26,40001,21.388089137004098,29.869678849094605,False,0.004117299999052193
27,40001,21.538686944432836,29.869678849094605,False,0.007598299998790026
28,40001,17.901046128244868,29.869678849094605,False,0.007236700002977159
29,40001,23.32833865150716,29.869678849094605,False,0.007599099997605663
30,40001,18.165612937365463,29.869678849094605,False,0.005223099993600044
31,40001,21.54861737313301,29.869678849094605,False,0.006451900000683963
32,40001,20.72349157652991,29.869678849094605,False,0.00480480000260286
33,40001,20.826729153719704,29.869678849094605,False,0.012146200002462137
34,40001,21.739578406958323,29.869678849094605,False,0.005339900002581999
35,40001,20.936265556772923,29.869678849094605,False,0.006218100003025029
36,40001,18.191247845748297,29.869678849094605,False,0.006630800002312753
37,40001,20.728722960754972,29.869678849094605,False,0.007023999998637009
38,40001,19.15792877449533,29.869678849094605,False,0.00728019999951357
39,40001,18.355497092084477,29.869678849094605,False,0.005820899998070672
40,40001,20.726422871129905,29.869678849094605,False,0.0036012999989907257
41,40001,20.308031738295398,29.869678849094605,False,0.0036323999956948683
42,40001,20.68099701541201,29.869678849094605,False,0.01355139999941457
43,40001,25.367271635565782,29.869678849094605,False,0.003555499999492895
44,40001,21.18509213880711,29.869678849094605,False,0.003524799998558592
45,40001,22.156935408134256,29.869678849094605,False,0.006499199997051619
46,40001,23.111448109465478,29.869678849094605,False,0.006210400002601091
47,40001,22.265110857216555,29.869678849094605,False,0.006297400002949871
48,40001,21.595778687004096,29.869678849094605,False,0.006447100000514183
49,40001,18.93870418039066,29.869678849094605,False,0.006300699998973869
50,40001,19.852311840527744,29.869678849094605,False,0.0036045000015292317
51,40001,18.65960512966687,29.869678849094605,False,0.003401100002520252
52,40001,18.407921477777748,29.869678849094605,False,0.0035730000017792918
53,40001,18.64066403702641,29.869678849094605,False,0.0037736999947810546
54,40001,17.084239414799374,29.869678849094605,False,0.006882000001496635
55,40001,19.705092014687256,29.869678849094605,False,0.006162100005894899
56,40001,24.592685739783363,29.869678849094605,False,0.005986199998005759
57,40001,24.556976647713185,29.869678849094605,False,0.006294099999649916
58,40001,22.102192773441374,29.869678849094605,False,0.0059181999968132
59,40001,23.060122776333284,29.869678849094605,False,0.0035778999954345636
60,40001,21.638302133127667,29.869678849094605,False,0.0033992999960901216
61,40001,23.446715492015137,29.869678849094605,False,0.005881599994609132
62,40001,18.238478343368495,29.869678849094605,False,0.006526500001200475
63,40001,21.03229095188615,29.869678849094605,False,0.006472799999755807
64,40001,28.968906319703756,29.869678849094605,False,0.0035457000049063936
65,40001,23.34524019309195,29.869678849094605,False,0.0033495000025141053
66,40001,18.55258762450189,29.869678849094605,False,0.006037099999957718
67,40001,20.263435210160917,29.869678849094605,False,0.006581700006790925
68,40001,19.0333773022025,29.869678849094605,False,0.003428400006669108
69,40001,19.44847268983668,29.869678849094605,False,0.0035494000039761886
70,40001,18.827737647320763,29.869678849094605,False,0.0061012999940430745
71,40001,22.288664641156856,29.869678849094605,False,0.006306700001005083
72,40001,22.524086083841397,29.869678849094605,False,0.006294999999227002
73,40001,23.65711095856001,29.869678849094605,False,0.0065524000019649975
