snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,runs,mean_runtime_seconds,mean_signal_generation_runtime_seconds,mean_detector_runtime_seconds,mean_trial_total_runtime_seconds,max_trial_total_runtime_seconds
-6.0,1:1,1,0.001,8,2.4208711249984844,0.01021838749966264,2.4208711249984844,2.4311630874981347,3.627217599998403
-6.0,1:1,1,0.002,8,1.8533435124991229,0.005706599999030004,1.8533435124991229,1.8591364499998235,4.3469743999958155
-6.0,1:1,1,0.0025,8,1.256702037499963,0.0015921624999464257,1.256702037499963,1.25838074999956,1.3840041000003112
-6.0,1:1,1,0.003,8,1.3655934374992285,0.0015135875009946176,1.3655934374992285,1.3671812875008982,1.5107889999999315
-6.0,1:1,1,0.004,8,1.3812793375000183,0.001925112501339754,1.3812793375000183,1.38329291250011,1.412864099998842
-6.0,1:3,3,0.001,8,1.3864589625000008,0.002167237500543706,1.3864589625000008,1.3887096999997084,1.4410016000038013
-6.0,1:3,3,0.002,8,2.023119624998799,0.0019316124971737736,2.023119624998799,2.025126474998615,3.7357693999947514
-6.0,1:3,3,0.0025,8,1.3991039875008937,0.0018147999999200692,1.3991039875008937,1.4010104750004757,1.4257607000035932
-6.0,1:3,3,0.003,8,1.3839969250002468,0.0020220374990458367,1.3839969250002468,1.386117687499791,1.4301665000020876
-6.0,1:3,3,0.004,8,1.3705496249986027,0.002548749999732536,1.3705496249986027,1.3732072875000085,1.40448589999869
-6.0,1:10,10,0.001,8,2.564109650001228,0.0021679499977835803,2.564109650001228,2.5663494624986924,3.7724170000001322
-6.0,1:10,10,0.002,8,2.2891382749985496,0.0021257124999465304,2.2891382749985496,2.2913441750006314,3.8026611999957822
-6.0,1:10,10,0.0025,8,1.7048853249998501,0.0018945999991046847,1.7048853249998501,1.706875474998924,3.6610278000007384
-6.0,1:10,10,0.003,8,1.3970353000004252,0.0017977625002458808,1.3970353000004252,1.3989152999993166,1.4295799999963492
-6.0,1:10,10,0.004,8,1.4432613125009084,0.00156290000086301,1.4432613125009084,1.4449220625001544,1.6440256999994745
-12.0,1:1,1,0.001,8,1.22151120000035,0.0015683374995205668,1.22151120000035,1.2231927499997255,1.4100089999992633
-12.0,1:1,1,0.002,8,1.3736623624999993,0.002563462499892921,1.3736623624999993,1.3763048625014562,1.4368619000015315
-12.0,1:1,1,0.0025,8,1.368864412500443,0.0020819000001210952,1.368864412500443,1.371012962500572,1.4011852000039653
-12.0,1:1,1,0.003,8,1.3901584374998492,0.0015729500000816188,1.3901584374998492,1.3918179750007766,1.438674599994556
-12.0,1:1,1,0.004,8,1.4209530625003026,0.0018645624977580155,1.4209530625003026,1.4229005124989271,1.4568326999942656
-12.0,1:3,3,0.001,8,1.3991827000008925,0.0017519125003673253,1.3991827000008925,1.4010213374995146,1.4531884000025457
-12.0,1:3,3,0.002,8,1.4497930500010625,0.0015675624990763026,1.4497930500010625,1.451456962499833,1.6157937000025413
-12.0,1:3,3,0.0025,8,1.4206904250013395,0.0023182374998214073,1.4206904250013395,1.4230902375002188,1.6239402999999584
-12.0,1:3,3,0.003,8,1.4067289750009877,0.001764649998222012,1.4067289750009877,1.4086302249970686,1.4356131999957142
-12.0,1:3,3,0.004,8,1.3892324750004263,0.001754612500917574,1.3892324750004263,1.3910715125011848,1.426989899999171
-12.0,1:10,10,0.001,8,2.0125294875006148,0.0019025624987989431,2.0125294875006148,2.0145561624995025,3.693039799996768
-12.0,1:10,10,0.002,8,2.2813278625008024,0.0018295374984518276,2.2813278625008024,2.2832327499963867,3.7872040000002016
-12.0,1:10,10,0.0025,8,1.4221650750014305,0.0021655125010511256,1.4221650750014305,1.4244052249996457,1.4616864999989048
-12.0,1:10,10,0.003,8,1.3941345124994768,0.0014818374984315597,1.3941345124994768,1.395706399998744,1.4150799999988521
-12.0,1:10,10,0.004,8,1.4120462874989244,0.0017641499998717336,1.4120462874989244,1.413900300000023,1.4544148999993922
-18.0,1:1,1,0.001,8,0.5710420874984266,0.001735349998853053,0.5710420874984266,0.5728559749986744,1.435782400003518
-18.0,1:1,1,0.002,8,1.3775434749995839,0.0023539124986200477,1.3775434749995839,1.3800249374990017,1.4066800000000512
-18.0,1:1,1,0.0025,8,1.3916455500002485,0.0019707249994098675,1.3916455500002485,1.3936950375000379,1.4190990999995847
-18.0,1:1,1,0.003,8,1.3901616750008543,0.001678300001003663,1.3901616750008543,1.391933325001446,1.4044494000045233
-18.0,1:1,1,0.004,8,1.4121726374996797,0.0016481625016240287,1.4121726374996797,1.4139006374998644,1.4424031999951694
-18.0,1:3,3,0.001,8,0.9119176124995647,0.002340387502044905,0.9119176124995647,0.9143534500017267,1.4642706000013277
-18.0,1:3,3,0.002,8,1.4261606999980359,0.0017398250010955962,1.4261606999980359,1.428004950000286,1.4598011999987648
-18.0,1:3,3,0.0025,8,1.392884425000375,0.001714612501928059,1.392884425000375,1.3946847750021334,1.408160000006319
-18.0,1:3,3,0.003,8,1.386856974998409,0.0020475499986787327,1.386856974998409,1.3890000125011284,1.4185212000011234
-18.0,1:3,3,0.004,8,1.4274559374998717,0.001741349999065278,1.4274559374998717,1.4292693250008597,1.5930502000046545
-18.0,1:10,10,0.001,8,1.7997589125006925,0.0020149874999333406,1.7997589125006925,1.8018424124993544,3.6899448999974993
-18.0,1:10,10,0.002,8,1.3827836999989813,0.0017178124999190914,1.3827836999989813,1.3845830874997773,1.4530971999993199
-18.0,1:10,10,0.0025,8,1.4526287750004485,0.0016848749983182643,1.4526287750004485,1.4543963625001197,1.595796599998721
-18.0,1:10,10,0.003,8,1.43039596250037,0.0017894249995151768,1.43039596250037,1.4322526625010141,1.458661700002267
-18.0,1:10,10,0.004,8,1.2370289125019553,0.001694325002063124,1.2370289125019553,1.2387913125021441,1.4235881000058725
