snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,replicate,center_hz,true_frequency_1_hz,true_frequency_2_hz,weak_amplitude,strong_amplitude,noise_std,phase_1_rad,phase_2_rad,phase_difference_abs_rad,phase_bin,detector,estimated_k,success,max_frequency_error_hz,tolerance_hz,estimated_frequencies_hz,bic_improvement,candidate_origin,conditional_glrt_statistic,conditional_glrt_threshold,condition_design,ill_conditioned,runtime_seconds,signal_generation_runtime_seconds,detector_runtime_seconds,trial_total_runtime_seconds,fit_backend
-6.0,1:1,1,0.002,2,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,1.9910400414732097,2.089473872206529,0.09843383073331946,0,complete,2,True,1.8966185883151354e-05,0.0005,4.99900650995;5.00101896619,6581.094588638516,local_close_pair_resolver,nan,nan,1.2604154816941637,False,1.0770980999950552,0.0021964999978081323,1.0770980999950552,1.0794315000021015,cached
-6.0,1:1,1,0.002,3,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,-1.2048806745566,2.510013718079276,2.5682909145437107,6,complete,2,True,4.8142410509655065e-05,0.0005,4.99901757239;5.00104814241,1856.36717229872,local_close_pair_resolver,nan,nan,1.2480369406992151,False,1.1223654999994324,0.001577399998495821,1.1223654999994324,1.1240269999980228,cached
-6.0,1:1,1,0.002,4,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,0.5655318446658533,-2.27298254016293,2.8385143848287835,7,complete,2,True,6.735078238495618e-05,0.0005,4.99893264922;5.00095059729,2152.1476850555046,split_0.65_over_T,nan,nan,1.2566127439222066,False,4.330920499996864,0.01598099999682745,4.330920499996864,4.3469743999958155,cached
-6.0,1:1,1,0.002,5,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,-1.60934957710218,-2.7396414956127577,1.1302919185105778,2,complete,2,True,3.237094542551944e-05,0.0005,4.99898618836;5.00096762905,6774.174721106247,local_close_pair_resolver,nan,nan,1.2821912464342324,False,1.1302973000056227,0.0014789999986533076,1.1302973000056227,1.131857599997602,cached
-6.0,1:1,1,0.002,6,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,1.0938573902812498,0.19600761202967387,0.897849778251576,2,complete,2,True,2.6433262082292686e-05,0.0005,4.99900213057;5.00097356674,7872.978808861226,local_close_pair_resolver,nan,nan,1.2893829180217546,False,1.1281837999995332,0.0014689000017824583,1.1281837999995332,1.1297240000058082,cached
-6.0,1:1,1,0.002,7,5.0,4.999,5.001,0.01,0.01,0.014108635131604638,1.998878876775322,1.3312307163176973,0.6676481604576248,1,complete,2,True,2.9116480219748553e-05,0.0005,4.99902911648;5.00098720824,8577.932636336831,local_close_pair_resolver,nan,nan,1.2991020115324596,False,1.1518527000007452,0.001470099996367935,1.1518527000007452,1.1534083000005921,cached
-6.0,1:1,1,0.0025,0,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,0.45585322818501783,-0.7704963000769367,1.2263495282619545,3,complete,2,True,3.690149600377168e-05,0.000625,4.99877422822;5.0012130985,8630.42884428741,local_close_pair_resolver,nan,nan,1.025362505464468,False,1.1786560000036843,0.0014228000000002794,1.1786560000036843,1.1801494999963325,cached
-6.0,1:1,1,0.0025,1,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,0.8462309283519547,2.4577959207805673,1.6115649924286126,4,complete,2,True,1.8386405321813015e-05,0.000625,4.99875611123;5.00126838641,9258.819637233915,local_close_pair_resolver,nan,nan,1.0049502306450966,False,1.215325800003484,0.0015387000021291897,1.215325800003484,1.2169601999994484,cached
-6.0,1:1,1,0.0025,2,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,1.5778503314010575,-1.9337574383329892,2.77157753744554,7,complete,2,True,1.7223731533455577e-05,0.000625,4.99874450373;5.00123277627,4096.4841319815605,split_1.00_over_T,nan,nan,1.0047325342145814,False,1.3821641999966232,0.001787100001820363,1.3821641999966232,1.3840041000003112,cached
-6.0,1:1,1,0.0025,3,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,-1.2543300942179134,1.1116280928844402,2.3659581871023536,6,complete,2,True,1.8402817075546807e-05,0.000625,4.99873159718;5.00125392824,5700.216703757702,split_1.00_over_T,nan,nan,1.0089402941546703,False,1.2448567999963416,0.0014649000004283153,1.2448567999963416,1.2463782999984687,cached
-6.0,1:1,1,0.0025,4,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,-3.06798834410789,-2.3983270190425534,0.6696613250653365,1,complete,2,True,2.5134437827034617e-05,0.000625,4.99877513444;5.00123043615,7969.7883376965765,local_close_pair_resolver,nan,nan,1.0183672514160726,False,1.2323863999990863,0.0015300000013667159,1.2323863999990863,1.2340811000030953,cached
-6.0,1:1,1,0.0025,5,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,0.31625288063615065,1.4703257094420845,1.1540728288059339,2,complete,2,True,2.0612958544496962e-05,0.000625,4.99873561026;5.00127061296,8606.40636207239,local_close_pair_resolver,nan,nan,1.013950479120321,False,1.2557288000025437,0.0014653999969596043,1.2557288000025437,1.257321299999603,cached
-6.0,1:1,1,0.0025,6,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,-2.950740893639725,2.6251832616129063,0.7072611519269556,1,complete,2,True,3.342322471766579e-05,0.000625,4.99871657678;5.00128283888,7822.181539101002,local_close_pair_resolver,nan,nan,1.02618184510784,False,1.2487637999947765,0.001431899996532593,1.2487637999947765,1.250261799999862,cached
-6.0,1:1,1,0.0025,7,5.0,4.99875,5.00125,0.01,0.01,0.014108635131604638,-0.6657144544609053,-1.257873456391263,0.5921590019303578,1,complete,2,True,1.7386741911984416e-05,0.000625,4.99876738674;5.00124834926,7893.458619519486,local_close_pair_resolver,nan,nan,1.0077104654282945,False,1.2957345000031637,0.002096500000334345,1.2957345000031637,1.2978896999993594,cached
-6.0,1:1,1,0.003,0,5.0,4.9985,5.0015,0.01,0.01,0.014108635131604638,0.6687800924928373,1.9266861946391236,1.2579061021462863,3,complete,2,True,1.6491768470849877e-05,0.00075,4.99849071484;5.00148350823,8520.744330671092,local_close_pair_resolver,nan,nan,1.1683775840601065,False,1.3142069000023184,0.0014529000036418438,1.3142069000023184,1.3157678000061424,cached
-6.0,1:1,1,0.003,1,5.0,4.9985,5.0015,0.01,0.01,0.014108635131604638,-0.9096020184859186,-2.754480347650317,1.8448783291643984,4,complete,2,True,2.490729856585716e-05,0.00075,4.9984750927;5.00152338616,8730.495772095164,local_close_pair_resolver,nan,nan,1.1824150828619004,False,1.3317356999978074,0.0014204000035533682,1.3317356999978074,1.333214999998745,cached
-6.0,1:1,1,0.003,2,5.0,4.9985,5.0015,0.01,0.01,0.014108635131604638,-1.8999772523946794,-2.006678716549837,0.1067014641551578,0,complete,2,True,2.4524130783021292e-05,0.00075,4.99850641863;5.00147547587,8353.394404398743,local_close_pair_resolver,nan,nan,1.1620051732329808,False,1.5090885999961756,0.0016357999993488193,1.5090885999961756,1.5107889999999315,cached
-6.0,1:1,1,0.003,3,5.0,4.9985,5.0015,0.01,0.01,0.014108635131604638,-0.5761720270613662,-0.6507823128494001,0.07461028578803397,0,complete,2,True,9.343331344169314e-06,0.00075,4.99850522563;5.00150934333,8676.333978051087,local_close_pair_resolver,nan,nan,1.1713451805617492,False,1.3461870000028284,0.0012812000059057027,1.3461870000028284,1.3475520000065444,cached
-6.0,1:1,1,0.003,4,5.0,4.9985,5.0015,0.01,0.01,0.014108635131604638,-1.7112039088142335,-0.20253446615542536,1.508669442658808,3,complete,2,True,2.0409843193291977e-05,0.00075,4.99847959016;5.00150393619,8578.565471697482,local_close_pair_resolver,nan,nan,1.1765093405245988,False,1.3158559000003152,0.0015390999978990294,1.3158559000003152,1.3174784000002546,cached
