layout,sensor_count,snr_db,runs,pd_any,pd_all,pd_source_mean,pd_source_min,pd_source_variance,false_alarm_runs,p_fa,score
bearing_left,1,-25.0,720,0.4111111111111111,0.0,0.13159722222222223,0.020833333333333332,0.004716796875,2400,0.04833333333333333,0.03257215711805556
bearing_left,1,-20.0,720,0.925,0.0,0.44062500000000004,0.03611111111111111,0.05857771508487655,2400,0.04,0.33133614245756177
bearing_left,1,-15.0,720,1.0,0.025,0.7312500000000001,0.027777777777777776,0.16604986496913582,2400,0.03833333333333333,0.5715584008487655
bearing_left,1,-12.0,720,1.0,0.12083333333333333,0.7777777777777777,0.12083333333333333,0.14387442129629627,2400,0.03166666666666667,0.6425072337962962
bearing_left,1,-10.0,720,1.0,0.17222222222222222,0.7930555555555555,0.17222222222222222,0.12847800925925928,2400,0.05333333333333334,0.6221498842592592
bearing_left,1,-5.0,720,1.0,0.6416666666666667,0.9104166666666667,0.6416666666666667,0.024075520833333326,2400,0.041666666666666664,0.8150455729166666
bearing_left+bearing_right,2,-25.0,720,0.6291666666666667,0.0,0.21180555555555558,0.022222222222222223,0.014904031635802468,2400,0.04541666666666667,0.113520206404321
bearing_left+bearing_right,2,-20.0,720,0.9986111111111111,0.02638888888888889,0.6218750000000001,0.03333333333333333,0.12272026909722222,2400,0.05708333333333333,0.4463481987847223
bearing_left+bearing_right,2,-15.0,720,1.0,0.09861111111111111,0.7697916666666667,0.10277777777777777,0.1483954234182099,2400,0.03875,0.6180939549575617
bearing_left+bearing_right,2,-12.0,720,1.0,0.23055555555555557,0.8076388888888889,0.23055555555555557,0.1110083912037037,2400,0.04791666666666667,0.6563013599537038
bearing_left+bearing_right,2,-10.0,720,1.0,0.4513888888888889,0.8628472222222222,0.4513888888888889,0.05643265335648148,2400,0.06583333333333333,0.7029642288773148
bearing_left+bearing_right,2,-5.0,720,1.0,0.8833333333333333,0.9708333333333333,0.8833333333333333,0.002552083333333335,2400,0.05125,0.8670572916666667
bearing_left+bearing_right+gearbox_left,3,-25.0,720,0.8569444444444444,0.002777777777777778,0.3361111111111111,0.03333333333333333,0.05714409722222222,2400,0.06291666666666666,0.18170572916666666
bearing_left+bearing_right+gearbox_left,3,-20.0,720,1.0,0.16527777777777777,0.7409722222222223,0.21666666666666667,0.09769048996913582,2400,0.04416666666666667,0.603793643904321
bearing_left+bearing_right+gearbox_left,3,-15.0,720,1.0,0.7527777777777778,0.9381944444444444,0.7527777777777778,0.011459780092592594,2400,0.049166666666666664,0.8341312210648149
bearing_left+bearing_right+gearbox_left,3,-12.0,720,1.0,0.9888888888888889,0.9972222222222222,0.9888888888888889,2.3148148148147984e-05,2400,0.06291666666666666,0.8713773148148148
bearing_left+bearing_right+gearbox_left,3,-10.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.052083333333333336,0.8958333333333334
bearing_left+bearing_right+gearbox_left,3,-5.0,720,1.0,1.0,1.0,1.0,0.0,2400,0.05416666666666667,0.8916666666666666
bearing_left+bearing_right+gearbox_left+gearbox_right+input_shaft+output_shaft,6,-25.0,720,0.9875,0.005555555555555556,0.4378472222222223,0.05,0.12026174286265434,2400,0.04708333333333333,0.28354968412422843
