model_name,detected,f0_hat,f0_refined,score,threshold,runtime_ms,amplitude,phase,fit_rmse,fit_explained_var,notes
FFT Peak Baseline,True,1.9999500012517875,2.0000015345118274,130729.20451760992,,14.575299999705749,0.0351903178835322,1.5736547822555682,0.10001364028429421,0.05829407361796568,maximum Hann-windowed FFT peak
Welch PSD,True,2.0019531250018208,2.000003108375812,0.000618505874535114,,8.335499998793239,0.03519028419065987,1.5717090023284792,0.10001364379117374,0.05829400757798808,"Welch averaged spectrum, lower variance but coarser grid"
CFAR + FFT,True,1.9999500012517875,2.0000015345118274,1219.4708678631384,25.0,1207.92849999998,0.0351903178835322,1.5736547822555682,0.10001364028429421,0.05829407361796568,FFT peak selected by local median CFAR ratio
Matched Filter / GLRT,True,1.9999500012517875,2.0000015345118274,2328.6570660693483,25.104088427093526,2731.476599999951,0.0351903178835322,1.5736547822555682,0.10001364028429421,0.05829407361796568,matched-filter/GLRT with Monte Carlo P_FA=0.05
SSA Denoise + FFT,True,1.9999500012517875,2.0000015345118274,130724.27162197932,,656.7161999992095,0.0351903178835322,1.5736547822555682,0.10001364028429421,0.05829407361796568,rank-2 SSA reconstruction followed by FFT peak
MUSIC,True,1.9993166097174766,2.000002304428224,157.97588256586118,,2443.860499999573,0.0351903069501552,1.5727029303940783,0.10001364102344831,0.058294059698548395,MUSIC pseudospectrum with real sinusoid signal dimension 2
