weak_to_nearest_strong_distance_hz,replicate,sample_count,true_k,estimated_k,weak_detected,strong_components_detected,correct_order,over_estimated,weak_frequency_error_hz,strong_frequency_mae_hz,strong_amplitudes,estimated_frequencies_hz,accepted_iterations,condition_design,ill_conditioned,runtime_seconds
0.5,50,40001,4,4,True,True,True,False,6.716145011775865e-05,2.7873617967818138e-05,0.0481939566;0.0306130253;0.0472175223,3.00006716;3.49996149;10.500033;13.9999879,4,1.0002160961406845,False,1.6769836000021314
0.5,51,40001,4,3,False,True,False,False,0.4999598887125005,2.052826415373706e-05,0.0377433296;0.042490995;0.0423408564,3.49995989;10.4999832;13.9999953,3,1.0000884677017685,False,1.6804161000000022
0.5,52,40001,4,3,False,True,False,False,0.5000242666320722,1.3389756565581242e-05,0.0387643532;0.0346870705;0.0405322819,3.50002427;10.4999984;13.9999857,3,1.000089544642092,False,1.681302199998754
0.5,53,40001,4,4,True,True,True,False,5.4419072033518034e-05,3.572582942309074e-05,0.0473481072;0.0376208515;0.0470444621,2.99994558;3.49996187;10.4999822;13.9999487,4,1.0001153328616377,False,1.6560719000008248
0.5,54,40001,4,4,True,True,True,False,5.196388484840497e-05,1.848100608459191e-05,0.0447575302;0.046872257;0.0338943185,3.00005196;3.49999968;10.5000178;13.9999627,4,1.0001309838771266,False,1.7697573000004923
0.5,55,40001,4,4,True,True,True,False,1.8972700234876072e-05,2.5837774873416208e-05,0.0311220888;0.042280297;0.0341102731,3.00001897;3.50004305;10.499977;14.0000115,4,1.0001605597850636,False,1.6735324000001128
0.5,56,40001,4,4,True,True,True,False,0.0002195158619917592,3.1449861489581586e-05,0.0405073113;0.0355958712;0.0406406249,3.00021952;3.4999631;10.499989;14.0000465,4,1.0005351632550048,False,1.6685305000028166
0.5,57,40001,4,3,False,True,False,False,0.5000090690668033,3.102988302483567e-05,0.0451639106;0.0491572638;0.0346473385,3.50000907;10.499954;14.0000381,3,1.0001082748166434,False,1.7989351000032912
0.5,58,40001,4,3,False,True,False,False,0.49998768778896263,9.329485351964687e-06,0.0461483142;0.0478533814;0.0433779807,3.49998769;10.4999952;14.0000109,3,1.0000928944911038,False,1.7608688000000257
0.5,59,40001,4,4,True,True,True,False,3.058260700861126e-05,3.325859288949573e-05,0.0331065297;0.0440629452;0.0397974237,3.00003058;3.50005787;10.5000146;13.9999727,4,1.000168255798099,False,1.7345117000004393
0.5,60,40001,4,4,True,True,True,False,0.0001503245934548758,1.5056410054429628e-05,0.0361916927;0.0433014483;0.0449796302,3.00015032;3.49998707;10.4999828;14.0000151,4,1.0003472725449525,False,1.7724339999986114
0.5,61,40001,4,4,True,True,True,False,4.974658995848813e-05,2.9912025542403835e-05,0.0313470745;0.0337867118;0.0385174115,3.00004975;3.50002748;10.4999618;14.0000241,4,1.0001280564748805,False,1.659849799998483
0.5,62,40001,4,3,False,True,False,False,0.5000132695705344,1.1505560962188355e-05,0.0366792412;0.0425918575;0.0379929731,3.50001327;10.4999964;14.0000177,3,1.0000963472931483,False,1.6846632999986468
0.5,63,40001,4,3,False,True,False,False,0.500031676035114,2.6982872179578028e-05,0.031073673;0.0315591039;0.0476083363,3.50003168;10.4999534;13.9999973,3,1.0000965268843258,False,1.6184278000000631
0.5,64,40001,4,4,True,True,True,False,6.5416133571361e-05,8.57897208087858e-06,0.0495158339;0.0467718347;0.0483388837,2.99993458;3.50000968;10.499989;14.0000051,4,1.0002248763694241,False,1.6356144999990647
