rank,layout,sensor_count,mean_pd_source,low_snr_pd_source,mean_pd_all,mean_p_fa,mean_balance_variance,score
1,bearing_left+bearing_right+gearbox_left,3,0.7199810606060607,0.5845170454545454,0.4892045454545455,0.039523809523809524,0.03386705298725895,0.5410072636880165
2,bearing_left+gearbox_left+gearbox_right,3,0.7069602272727273,0.5646306818181819,0.49829545454545454,0.03517857142857143,0.03743453264893251,0.5389137880940083
3,bearing_left+gearbox_left+output_shaft,3,0.7233901515151514,0.5875,0.5102272727272728,0.03916666666666666,0.042051184788223145,0.5358453964359504
4,bearing_left+gearbox_left+input_shaft,3,0.7038825757575758,0.5610085227272728,0.48087121212121214,0.04297619047619047,0.03004829007403581,0.5174079610020661
5,bearing_right+gearbox_left+output_shaft,3,0.7178030303030303,0.579403409090909,0.4888257575757575,0.046607142857142854,0.04719199272555096,0.49804763903236915
6,bearing_right+gearbox_left+gearbox_right,3,0.7055397727272728,0.5622869318181818,0.47821969696969696,0.04630952380952381,0.04229388612689394,0.49270377604166665
7,bearing_right+gearbox_left+input_shaft,3,0.7072916666666668,0.565625,0.48143939393939394,0.05303571428571429,0.030637617295110192,0.4849015259125345
8,gearbox_left+input_shaft+output_shaft,3,0.7007102272727274,0.5546164772727273,0.4833333333333334,0.048630952380952386,0.040832728025998626,0.4815026203081956
9,bearing_right+gearbox_left,2,0.6874526515151516,0.5357954545454545,0.459469696969697,0.04857142857142858,0.03398040687413912,0.4766761632661846
10,bearing_left+gearbox_left,2,0.7035037878787879,0.5586647727272728,0.4948863636363636,0.05654761904761904,0.029517879433539947,0.4701656658918733
11,gearbox_left+gearbox_right+input_shaft,3,0.6858428030303031,0.5352272727272727,0.4772727272727273,0.04976190476190476,0.035318028473657025,0.46929450219524793
12,gearbox_left+gearbox_right+output_shaft,3,0.6780303030303031,0.5253551136363637,0.4316287878787879,0.04041666666666666,0.05675038739669421,0.4684715048209367
13,bearing_left+bearing_right+output_shaft,3,0.6835700757575758,0.5613636363636363,0.29545454545454547,0.0425,0.07901419647469007,0.4400030399879477
14,bearing_left+gearbox_right+output_shaft,3,0.6803503787878787,0.5458096590909091,0.3471590909090909,0.048511904761904756,0.06850834786070938,0.42834869468836084
15,gearbox_left+input_shaft,2,0.675094696969697,0.5191761363636364,0.4638257575757576,0.06404761904761903,0.02200076941287879,0.42452710700757573
16,gearbox_left+output_shaft,2,0.6732954545454546,0.5201704545454546,0.41969696969696973,0.05380952380952381,0.053911200068870534,0.4202686811294765
17,bearing_left+input_shaft+output_shaft,3,0.6671401515151515,0.5387784090909091,0.2897727272727273,0.048630952380952386,0.07364951898243802,0.4085523954028926
18,bearing_left+bearing_right+gearbox_right,3,0.6694602272727272,0.5455255681818182,0.28219696969696967,0.053154761904761906,0.07185542839617769,0.3971920465306474
19,bearing_right+input_shaft+output_shaft,3,0.6677556818181819,0.5355113636363636,0.29431818181818187,0.05184523809523809,0.07459061047262397,0.3967886159176997
20,bearing_right+gearbox_right+output_shaft,3,0.6689867424242424,0.5279829545454545,0.3403409090909091,0.05392857142857143,0.07288127636449725,0.39277921078684574
21,gearbox_left,1,0.596780303030303,0.41647727272727275,0.3410984848484849,0.04476190476190476,0.0416127808626033,0.3901782993285124
22,bearing_right+output_shaft,2,0.6302083333333334,0.4864346590909091,0.26799242424242425,0.041666666666666664,0.0802935337035124,0.3880227595557851
23,gearbox_left+gearbox_right,2,0.6492424242424243,0.4855823863636364,0.40132575757575756,0.058809523809523805,0.04773082386363636,0.3861321022727273
24,gearbox_right+input_shaft+output_shaft,3,0.631060606060606,0.4772017045454545,0.3178030303030303,0.0481547619047619,0.06584864088326446,0.38350057033402213
25,bearing_left+gearbox_right+input_shaft,3,0.6352272727272728,0.5006392045454546,0.2515151515151515,0.04886904761904762,0.06880845923725896,0.3816154549758953
26,bearing_right+gearbox_right,2,0.5919507575757575,0.43899147727272725,0.2333333333333333,0.03642857142857143,0.07248899685778236,0.37746396134641874
27,bearing_left+output_shaft,2,0.6536458333333334,0.5216619318181819,0.27651515151515155,0.05357142857142857,0.07951173220127411,0.37073175469180447
28,bearing_left+gearbox_right,2,0.6154829545454547,0.47741477272727273,0.23390151515151514,0.047142857142857146,0.06856029668130166,0.3682105985278925
29,bearing_left+bearing_right+input_shaft,3,0.6223484848484849,0.4975142045454546,0.19071969696969696,0.046130952380952384,0.08013540052513775,0.36472767088498625
30,bearing_right+gearbox_right+input_shaft,3,0.6429924242424242,0.5055397727272728,0.27159090909090905,0.05696428571428571,0.06749983858471074,0.3626176179407714
31,bearing_left+bearing_right,2,0.6043087121212122,0.47784090909090915,0.1706439393939394,0.042738095238095235,0.08043949347882232,0.35819798661329205
32,input_shaft+output_shaft,2,0.6069128787878788,0.4598011363636364,0.24204545454545454,0.04928571428571429,0.07501078792183195,0.34439993328168045
33,bearing_right+input_shaft,2,0.5581912878787879,0.4183238636363636,0.14393939393939395,0.041369047619047625,0.07542372858557163,0.32289114690943527
34,gearbox_right+output_shaft,2,0.5716382575757576,0.41001420454545456,0.25094696969696967,0.05226190476190476,0.0835699008910124,0.28843770983987604
35,gearbox_right+input_shaft,2,0.5535984848484848,0.3986505681818182,0.21609848484848482,0.05702380952380951,0.057076984331955925,0.2855227703168044
36,bearing_right,1,0.5126893939393938,0.35894886363636364,0.12102272727272727,0.040952380952380955,0.07705952457816805,0.27688463111225897
37,bearing_left+input_shaft,2,0.5643465909090909,0.4329545454545455,0.12803030303030302,0.06148809523809524,0.08028308206353306,0.2527985590995179
38,bearing_left,1,0.5387310606060606,0.40525568181818183,0.0890151515151515,0.05714285714285714,0.08638706848312672,0.23506657842630854
39,output_shaft,1,0.5178503787878789,0.3577414772727273,0.19015151515151515,0.05428571428571429,0.09199429935003445,0.21745721956783748
40,gearbox_right,1,0.4275094696969697,0.28742897727272726,0.12954545454545455,0.05714285714285714,0.06973053062586089,0.14383283294593663
41,input_shaft,1,0.3612689393939394,0.2119318181818182,0.04659090909090909,0.045238095238095244,0.053908348398760325,0.13824558798209366
