snr_total_db,replicate,sample_count,true_k,estimated_k,correct_k,frequency_mae_hz,amplitude_relative_error,phase_mae_rad,waveform_rmse,condition_design,ill_conditioned,runtime_seconds,component_1_snr_db,component_2_snr_db,component_3_snr_db,component_4_snr_db
-20.0,0,40001,4,3,False,nan,nan,nan,0.009054619875041709,1.000109938259444,False,0.6088344000017969,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,1,40001,4,3,False,nan,nan,nan,0.008678609994742771,1.0001197063043528,False,0.664529699999548,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,2,40001,4,2,False,nan,nan,nan,0.0162135190991737,1.0000831081052175,False,0.7152388999966206,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,3,40001,4,3,False,nan,nan,nan,0.009616551283559718,1.0001263134396825,False,0.6326123000035295,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,4,40001,4,3,False,nan,nan,nan,0.009453003107720894,1.0001908869352054,False,0.7124059000052512,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,5,40001,4,3,False,nan,nan,nan,0.009151449400665762,1.000166799445575,False,0.7337024000007659,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,6,40001,4,3,False,nan,nan,nan,0.009794946870108227,1.0001601319634106,False,0.7138512999954401,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,7,40001,4,3,False,nan,nan,nan,0.0086801433814039,1.0001054318458016,False,0.8177709999945364,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,8,40001,4,3,False,nan,nan,nan,0.008259493085094419,1.0000698373475039,False,0.8310137000007671,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,9,40001,4,3,False,nan,nan,nan,0.009265441463589586,1.0001024526752396,False,0.8323055999935605,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,10,40001,4,3,False,nan,nan,nan,0.010118288500731728,1.0001367077726209,False,0.8340027999947779,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,11,40001,4,3,False,nan,nan,nan,0.009389754978424291,1.0001381600245114,False,0.7135153000053833,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,12,40001,4,3,False,nan,nan,nan,0.00832566657870616,1.000133325011183,False,0.821056500004488,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,13,40001,4,3,False,nan,nan,nan,0.00829913928641281,1.0001173005732202,False,0.8149707000047783,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
-20.0,14,40001,4,3,False,nan,nan,nan,0.008522846330910373,1.0001302600248139,False,0.8063394999990123,-28.68992972768028,-26.391652600996625,-33.88571139192344,-22.259279437616367
