replicate,sample_count,glrt_score,glrt_threshold,false_alarm,runtime_seconds
0,40001,24.835895953995546,29.869678849094605,False,0.011413200001697987
1,40001,24.15011327659193,29.869678849094605,False,0.0036409999956958927
2,40001,19.05527713873517,29.869678849094605,False,0.0033123999965027906
3,40001,18.27192794838835,29.869678849094605,False,0.009721900001750328
4,40001,19.859999081967214,29.869678849094605,False,0.00328579999768408
5,40001,21.17967661483988,29.869678849094605,False,0.003482200001599267
6,40001,17.30166856512741,29.869678849094605,False,0.0035025999968638644
7,40001,19.040592578622547,29.869678849094605,False,0.009553500000038184
8,40001,20.636109227650174,29.869678849094605,False,0.0033881999988807365
9,40001,21.43858268549293,29.869678849094605,False,0.003598800001782365
10,40001,18.949638340132424,29.869678849094605,False,0.003844899998512119
11,40001,18.975071068231816,29.869678849094605,False,0.0037471999967237934
12,40001,23.173028435962713,29.869678849094605,False,0.011947099999815691
13,40001,20.09421262228307,29.869678849094605,False,0.0036000000036437996
14,40001,18.125074155302112,29.869678849094605,False,0.0035852999935741536
15,40001,24.966751340128358,29.869678849094605,False,0.0038204000011319295
16,40001,19.387014054621957,29.869678849094605,False,0.0036668999964604154
17,40001,22.83126802666481,29.869678849094605,False,0.0038152000051923096
18,40001,26.984852231455392,29.869678849094605,False,0.010629000003973488
19,40001,25.126042151985928,29.869678849094605,False,0.0037904999990132637
20,40001,20.852777373378963,29.869678849094605,False,0.003557399999408517
21,40001,18.158586418403182,29.869678849094605,False,0.003570900000340771
22,40001,18.965146644805642,29.869678849094605,False,0.003678799999761395
23,40001,22.478284891420724,29.869678849094605,False,0.004515300002822187
24,40001,20.73555623969355,29.869678849094605,False,0.003718699997989461
25,40001,16.876046075930013,29.869678849094605,False,0.009465100003581028
26,40001,21.388089137004098,29.869678849094605,False,0.00402330000360962
27,40001,21.538686944432836,29.869678849094605,False,0.003955400003178511
28,40001,17.901046128244868,29.869678849094605,False,0.003766499998164363
29,40001,23.32833865150716,29.869678849094605,False,0.0037412000019685365
30,40001,18.165612937365463,29.869678849094605,False,0.003669199999421835
31,40001,21.54861737313301,29.869678849094605,False,0.0037569999985862523
32,40001,20.72349157652991,29.869678849094605,False,0.003778899997996632
33,40001,20.826729153719704,29.869678849094605,False,0.01112250000005588
34,40001,21.739578406958323,29.869678849094605,False,0.003446900002018083
35,40001,20.936265556772923,29.869678849094605,False,0.003920600000128616
36,40001,18.191247845748297,29.869678849094605,False,0.0035640999994939193
37,40001,20.728722960754972,29.869678849094605,False,0.006158699994557537
38,40001,19.15792877449533,29.869678849094605,False,0.005834900002810173
39,40001,18.355497092084477,29.869678849094605,False,0.00599089999741409
40,40001,20.726422871129905,29.869678849094605,False,0.0034558000043034554
41,40001,20.308031738295398,29.869678849094605,False,0.006654600001638755
42,40001,20.68099701541201,29.869678849094605,False,0.016305700002703816
43,40001,25.367271635565782,29.869678849094605,False,0.006591700002900325
44,40001,21.18509213880711,29.869678849094605,False,0.004288400006771553
45,40001,22.156935408134256,29.869678849094605,False,0.003959399997256696
46,40001,23.111448109465478,29.869678849094605,False,0.0038405000013881363
47,40001,22.265110857216555,29.869678849094605,False,0.004124699997191783
48,40001,21.595778687004096,29.869678849094605,False,0.0063595000028726645
49,40001,18.93870418039066,29.869678849094605,False,0.005699000001186505
50,40001,19.852311840527744,29.869678849094605,False,0.004546399999526329
51,40001,18.65960512966687,29.869678849094605,False,0.0036594999983208254
52,40001,18.407921477777748,29.869678849094605,False,0.004115399999136571
53,40001,18.64066403702641,29.869678849094605,False,0.003360499998962041
54,40001,17.084239414799374,29.869678849094605,False,0.005277600001136307
55,40001,19.705092014687256,29.869678849094605,False,0.00563490000058664
56,40001,24.592685739783363,29.869678849094605,False,0.00397250000241911
57,40001,24.556976647713185,29.869678849094605,False,0.004659800004446879
58,40001,22.102192773441374,29.869678849094605,False,0.0035527000000001863
59,40001,23.060122776333284,29.869678849094605,False,0.004636300000129268
60,40001,21.638302133127667,29.869678849094605,False,0.00491370000236202
61,40001,23.446715492015137,29.869678849094605,False,0.005893199995625764
62,40001,18.238478343368495,29.869678849094605,False,0.0036397000003489666
63,40001,21.03229095188615,29.869678849094605,False,0.004156399998464622
64,40001,28.968906319703756,29.869678849094605,False,0.0037471000032383017
65,40001,23.34524019309195,29.869678849094605,False,0.005721100002119783
66,40001,18.55258762450189,29.869678849094605,False,0.0038480000002891757
67,40001,20.263435210160917,29.869678849094605,False,0.005040700001700316
68,40001,19.0333773022025,29.869678849094605,False,0.00440589999925578
69,40001,19.44847268983668,29.869678849094605,False,0.0035896000044886023
70,40001,18.827737647320763,29.869678849094605,False,0.0042612999968696386
71,40001,22.288664641156856,29.869678849094605,False,0.004770300001837313
72,40001,22.524086083841397,29.869678849094605,False,0.004666499997256324
73,40001,23.65711095856001,29.869678849094605,False,0.005566699997871183
74,40001,17.675783671835475,29.869678849094605,False,0.004227600002195686
75,40001,20.97737648788039,29.869678849094605,False,0.003605700003390666
76,40001,19.90044909142173,29.869678849094605,False,0.0041742000030353665
77,40001,27.40462613717537,29.869678849094605,False,0.005164499998500105
78,40001,28.35595306896782,29.869678849094605,False,0.003740199994354043
79,40001,21.520478312294085,29.869678849094605,False,0.0036551000011968426
80,40001,17.97107601836692,29.869678849094605,False,0.004885000002104789
81,40001,19.705198880780262,29.869678849094605,False,0.0055525999996461906
82,40001,21.14077682785325,29.869678849094605,False,0.004089800000656396
83,40001,17.8781925467429,29.869678849094605,False,0.0045845999993616715
84,40001,20.327954356484053,29.869678849094605,False,0.003628099999332335
85,40001,22.651308041385068,29.869678849094605,False,0.003930500002752524
86,40001,21.215350391956065,29.869678849094605,False,0.005579999997280538
87,40001,24.530423851434872,29.869678849094605,False,0.004049700000905432
88,40001,19.84879220529989,29.869678849094605,False,0.004434000002220273
89,40001,19.323167456614236,29.869678849094605,False,0.0036698999974760227
90,40001,20.07865153134713,29.869678849094605,False,0.0037049000020488165
91,40001,22.84511796432534,29.869678849094605,False,0.005747499999415595
92,40001,18.48625847078152,29.869678849094605,False,0.003794600001128856
93,40001,22.12429089807824,29.869678849094605,False,0.0035982999979751185
94,40001,17.359165586149768,29.869678849094605,False,0.005355599998438265
95,40001,19.393607276729746,29.869678849094605,False,0.003702599999087397
96,40001,22.022665199746108,29.869678849094605,False,0.005448399999295361
97,40001,20.843995048570193,29.869678849094605,False,0.0036789000005228445
98,40001,19.848724461664574,29.869678849094605,False,0.0038531000027433038
99,40001,23.511913760982846,29.869678849094605,False,0.003595000001951121
100,40001,18.801058405840138,29.869678849094605,False,0.00397069999598898
101,40001,18.43867685785378,29.869678849094605,False,0.004111700000066776
102,40001,20.51249466341159,29.869678849094605,False,0.0038812999991932884
103,40001,21.013507770925376,29.869678849094605,False,0.0038043999957153574
104,40001,18.652599353045417,29.869678849094605,False,0.004622399996151216
105,40001,17.657607638428104,29.869678849094605,False,0.004167700004472863
106,40001,20.166582697520862,29.869678849094605,False,0.005159500004083384
107,40001,22.132066353844777,29.869678849094605,False,0.00599079999665264
108,40001,22.654497035399203,29.869678849094605,False,0.004619899998942856
109,40001,19.370248214803134,29.869678849094605,False,0.0037673999977414496
110,40001,26.490528303732944,29.869678849094605,False,0.00373770000442164
111,40001,21.903940512688063,29.869678849094605,False,0.0039660999973420985
112,40001,24.137121883326014,29.869678849094605,False,0.0035923999967053533
