snr_total_db,replicate,sample_count,true_k,estimated_k,correct_k,frequency_mae_hz,amplitude_relative_error,phase_mae_rad,waveform_rmse,condition_design,ill_conditioned,runtime_seconds,component_1_snr_db,component_2_snr_db,component_3_snr_db,component_4_snr_db
-20.0,0,40001,4,3,False,nan,nan,nan,0.009054123094540286,1.0001097306789113,False,0.2512470000074245,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,1,40001,4,3,False,nan,nan,nan,0.008678129912582782,1.0001194808797709,False,0.2455187999876216,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,2,40001,4,2,False,nan,nan,nan,0.016212783469447444,1.000082987102528,False,0.24117920000571758,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,3,40001,4,3,False,nan,nan,nan,0.009617521180565188,1.000126415189874,False,0.23346209997544065,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,4,40001,4,3,False,nan,nan,nan,0.00945325065335675,1.0001908342380035,False,0.26070009998511523,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,5,40001,4,1,False,nan,nan,nan,0.023511732736058253,1.0000469865655341,False,0.1371274000266567,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,6,40001,4,3,False,nan,nan,nan,0.009795800633445163,1.0001600835903774,False,0.25931569997919723,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,7,40001,4,2,False,nan,nan,nan,0.01600390435781358,1.0000591332689375,False,0.2586248000152409,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,8,40001,4,3,False,nan,nan,nan,0.008257008609269804,1.0000697571077848,False,0.2897163999732584,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,9,40001,4,3,False,nan,nan,nan,0.009266132243656425,1.000102301790838,False,0.2967534000054002,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,10,40001,4,3,False,nan,nan,nan,0.01011878247628998,1.0001366226400408,False,0.290463000012096,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,11,40001,4,2,False,nan,nan,nan,0.016322708409847172,1.0000762518280761,False,0.28739389998372644,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,12,40001,4,3,False,nan,nan,nan,0.008324928067950961,1.0001332481215386,False,0.2417962999898009,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,13,40001,4,3,False,nan,nan,nan,0.008298347714526484,1.0001171151418682,False,0.28755390003789216,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,14,40001,4,3,False,nan,nan,nan,0.008522585119899428,1.000130129615549,False,0.2949789999984205,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,15,40001,4,2,False,nan,nan,nan,0.016047052211737706,1.00006659059333,False,0.30105269997147843,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,16,40001,4,2,False,nan,nan,nan,0.016132256178148188,1.00007941070031,False,0.1671978000085801,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,17,40001,4,2,False,nan,nan,nan,0.015777049725170095,1.000075899238723,False,0.30391099996631965,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,18,40001,4,3,False,nan,nan,nan,0.00789848054713792,1.0000950779222277,False,0.2671894000377506,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,19,40001,4,3,False,nan,nan,nan,0.009000391415010441,1.0001573155811867,False,0.37332680000690743,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,20,40001,4,3,False,nan,nan,nan,0.009004887831850413,1.0001077371275011,False,0.3618993000127375,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
-20.0,21,40001,4,2,False,nan,nan,nan,0.015556343561239264,1.0000748929132701,False,0.3536764000309631,-28.689927637883244,-26.391652336470624,-33.88572316810805,-22.259279205374376
