scenario,case,separation_hz,phase_1_rad,phase_2_rad,wrapped_phase_difference_rad,noise_replicate,estimated_k,success,failure_type,max_frequency_error_hz,estimated_frequencies_hz,bic_improvement,residual_peak_ratio,candidate_origin,condition_design,runtime_seconds
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,0,1,True,none,nan,13.50182495,-114.47369139097282,9.764916712455213,peel_residual_rescan,1.0692436531051897,1.4937095000059344
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,1,1,True,none,nan,13.49413823,-2856.540890985547,8.990418674583088,peel_residual_rescan,1.0159477647071173,0.2046386000001803
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,2,1,True,none,nan,13.50909265,-2968.1900734157534,2.148936248723065,peel_residual_rescan,1.0252652954674442,0.19444150000344962
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,3,1,True,none,nan,13.49416548,-2768.5007544506225,7.083668241381857,peel_residual_rescan,1.006254532919472,0.19128379999892786
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,4,1,True,none,nan,13.48913136,-1488.1789362568816,13.450779784791493,fine_grid_secondary_peak,1.0201531443909615,0.1973594999872148
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,5,1,True,none,nan,13.48981303,-29.538463075383333,7.002551960944493,peel_residual_rescan,1.032109388757775,0.21064109995495528
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,6,1,True,none,nan,13.50919969,-2868.8285385468334,6.578768055013595,fine_grid_secondary_peak,1.0120566058826732,0.23467999999411404
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,7,1,True,none,nan,13.51048574,-3070.7174402948003,9.190501394383768,peel_residual_rescan,1.850747644618148,0.21446570003172383
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,8,1,True,none,nan,13.50184995,-893.8054460569401,8.719797633894107,peel_residual_rescan,1.0713242976348032,0.22999660001369193
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,9,1,True,none,nan,13.49751353,-2939.1164889805077,5.433816246232155,peel_residual_rescan,1.0426626171319875,0.22278780001215637
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,10,1,True,none,nan,13.4929503,-3206.502125269617,7.32350881761426,fine_grid_secondary_peak,1.0236322000248168,0.21652760001597926
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,11,1,True,none,nan,13.512,-123.5674032374227,4.6707261591939275,fine_grid_secondary_peak,1.0332888332765477,0.22294539998983964
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,12,1,True,none,nan,13.50785951,-587.8274102164723,3.6732511889496164,peel_residual_rescan,1.0261081074267218,0.2417853000224568
identical_failed_seed_19,identical,0.0,-1.521901703677466,-1.5924374107610026,-0.07053570708353661,13,1,True,none,nan,13.48800661,-2787.2089333936165,7.950169043648708,fine_grid_secondary_peak,1.0177660841242988,0.23390759999165311
