case_name,replicate,sample_count,true_k,expected_k,estimated_k,success,frequency_mae_hz,noise_kind,theoretical_identifiable,condition_design,ill_conditioned,runtime_seconds,true_frequencies_hz,estimated_frequencies_hz,candidate_origin,residual_peak_ratio
very_low_snr_-25,0,40001,4,4,1,False,10.000211648757478,gaussian,True,1.0000537142292432,False,0.13165769999613985,3.99999817;7.99992857;13.0000889;14.0000235,14.0002098,,nan
very_low_snr_-25,1,40001,4,4,1,False,10.00009846924279,gaussian,True,1.0000441963320226,False,0.1275440000463277,3.99999817;7.99992857;13.0000889;14.0000235,14.0000966,,nan
very_low_snr_-25,2,40001,4,4,1,False,9.999811788124436,gaussian,True,1.000016578725218,False,0.1354820000124164,3.99999817;7.99992857;13.0000889;14.0000235,13.99981,,nan
very_low_snr_-25,3,40001,4,4,1,False,10.000415166732495,gaussian,True,1.0000679852273189,False,0.060961600043810904,3.99999817;7.99992857;13.0000889;14.0000235,14.0004133,,nan
very_low_snr_-25,4,40001,4,4,1,False,9.999918549840501,gaussian,True,1.0000273130047397,False,0.06063760002143681,3.99999817;7.99992857;13.0000889;14.0000235,13.9999167,,nan
very_low_snr_-25,5,40001,4,4,1,False,10.000261441957015,gaussian,True,1.000057568623356,False,0.06305729999439791,3.99999817;7.99992857;13.0000889;14.0000235,14.0002596,,nan
very_low_snr_-25,6,40001,4,4,2,False,4.999888596245083,gaussian,True,1.000028029826715,False,0.26271519996225834,3.99999817;7.99992857;13.0000889;14.0000235,7.99993697;13.999767,,nan
very_low_snr_-25,7,40001,4,4,1,False,10.000145666388253,gaussian,True,1.000048285393838,False,0.15757250000024214,3.99999817;7.99992857;13.0000889;14.0000235,14.0001438,,nan
very_low_snr_-25,8,40001,4,4,1,False,10.000036308618107,gaussian,True,1.0000385760859645,False,0.1458942000172101,3.99999817;7.99992857;13.0000889;14.0000235,14.0000345,,nan
very_low_snr_-25,9,40001,4,4,1,False,9.999991707526721,gaussian,True,1.0000343964545055,False,0.0669869999983348,3.99999817;7.99992857;13.0000889;14.0000235,13.9999899,,nan
very_low_snr_-25,10,40001,4,4,1,False,9.99971441902025,gaussian,True,1.0000065238686098,False,0.06941659998847172,3.99999817;7.99992857;13.0000889;14.0000235,13.9997126,,nan
very_low_snr_-25,11,40001,4,4,1,False,10.000208439858167,gaussian,True,1.0000534584572112,False,0.06421609997050837,3.99999817;7.99992857;13.0000889;14.0000235,14.0002066,,nan
very_low_snr_-25,12,40001,4,4,1,False,9.999969334644462,gaussian,True,1.0000322583343295,False,0.07025360001716763,3.99999817;7.99992857;13.0000889;14.0000235,13.9999675,,nan
very_low_snr_-25,13,40001,4,4,1,False,10.000173844223898,gaussian,True,1.0000506466018766,False,0.13164510001661256,3.99999817;7.99992857;13.0000889;14.0000235,14.000172,,nan
very_low_snr_-25,14,40001,4,4,1,False,10.00007807956937,gaussian,True,1.00004238087062,False,0.07756039995001629,3.99999817;7.99992857;13.0000889;14.0000235,14.0000763,,nan
very_low_snr_-25,15,40001,4,4,1,False,9.999736413143324,gaussian,True,1.0000088090490113,False,0.07440330000827089,3.99999817;7.99992857;13.0000889;14.0000235,13.9997346,,nan
very_low_snr_-25,16,40001,4,4,2,False,4.99992696891744,gaussian,True,1.0000598034267751,False,0.16573170002084225,3.99999817;7.99992857;13.0000889;14.0000235,7.99985518;13.9999255,,nan
