layout,snr_db,fault_label,frequency_hz,amplitude,pd
bearing_left+bearing_right+gearbox_left,-30.0,4Hz,3.999998173832588,0.01910292277864388,0.0375
bearing_left+bearing_right+gearbox_left,-30.0,8Hz,7.9999285714666994,0.024889351734884123,0.020833333333333332
bearing_left+bearing_right+gearbox_left,-30.0,13Hz,13.00008888535092,0.010502919663465827,0.0175
bearing_left+bearing_right+gearbox_left,-30.0,14Hz,14.000023485389159,0.04005274094917999,0.0675
bearing_left+bearing_right+gearbox_left,-27.5,4Hz,3.999998173832588,0.01910292277864388,0.050833333333333335
bearing_left+bearing_right+gearbox_left,-27.5,8Hz,7.9999285714666994,0.024889351734884123,0.07
bearing_left+bearing_right+gearbox_left,-27.5,13Hz,13.00008888535092,0.010502919663465827,0.018333333333333333
bearing_left+bearing_right+gearbox_left,-27.5,14Hz,14.000023485389159,0.04005274094917999,0.11916666666666667
bearing_left+bearing_right+gearbox_left,-25.0,4Hz,3.999998173832588,0.01910292277864388,0.06
bearing_left+bearing_right+gearbox_left,-25.0,8Hz,7.9999285714666994,0.024889351734884123,0.08833333333333333
bearing_left+bearing_right+gearbox_left,-25.0,13Hz,13.00008888535092,0.010502919663465827,0.0175
bearing_left+bearing_right+gearbox_left,-25.0,14Hz,14.000023485389159,0.04005274094917999,0.2708333333333333
bearing_left+bearing_right+gearbox_left,-22.5,4Hz,3.999998173832588,0.01910292277864388,0.1525
bearing_left+bearing_right+gearbox_left,-22.5,8Hz,7.9999285714666994,0.024889351734884123,0.29833333333333334
bearing_left+bearing_right+gearbox_left,-22.5,13Hz,13.00008888535092,0.010502919663465827,0.0375
bearing_left+bearing_right+gearbox_left,-22.5,14Hz,14.000023485389159,0.04005274094917999,0.5866666666666667
bearing_left+bearing_right+gearbox_left,-20.0,4Hz,3.999998173832588,0.01910292277864388,0.29333333333333333
bearing_left+bearing_right+gearbox_left,-20.0,8Hz,7.9999285714666994,0.024889351734884123,0.6483333333333333
bearing_left+bearing_right+gearbox_left,-20.0,13Hz,13.00008888535092,0.010502919663465827,0.07
bearing_left+bearing_right+gearbox_left,-20.0,14Hz,14.000023485389159,0.04005274094917999,0.8225
bearing_left+bearing_right+gearbox_left,-17.5,4Hz,3.999998173832588,0.01910292277864388,0.6075
bearing_left+bearing_right+gearbox_left,-17.5,8Hz,7.9999285714666994,0.024889351734884123,0.9466666666666667
bearing_left+bearing_right+gearbox_left,-17.5,13Hz,13.00008888535092,0.010502919663465827,0.105
bearing_left+bearing_right+gearbox_left,-17.5,14Hz,14.000023485389159,0.04005274094917999,0.9741666666666666
bearing_left+bearing_right+gearbox_left,-15.0,4Hz,3.999998173832588,0.01910292277864388,0.945
bearing_left+bearing_right+gearbox_left,-15.0,8Hz,7.9999285714666994,0.024889351734884123,0.9983333333333333
bearing_left+bearing_right+gearbox_left,-15.0,13Hz,13.00008888535092,0.010502919663465827,0.2841666666666667
bearing_left+bearing_right+gearbox_left,-15.0,14Hz,14.000023485389159,0.04005274094917999,1.0
