amplitude_case,separation_hz,rayleigh_multiples,runs,main_success_rate,main_ci95_low,main_ci95_high,music_success_rate,music_ci95_low,music_ci95_high,median_condition_design,max_condition_design,ill_conditioned_rate,mean_main_runtime_seconds,mean_music_runtime_seconds,priority_for_more_runs
equal,0.00025,0.1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0966359115976718,1.2458361883530422,0.0,0.12676938666627394,0.04236668999947142,False
equal,0.0005,0.2,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0713686442758164,1.2470498590056631,0.0,0.1349526966662476,0.045051423332915876,False
equal,0.00075,0.3,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0875544541804842,1.2467309183092352,0.0,0.12958852000034918,0.041844160000861545,False
equal,0.001,0.4,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1174968818379485,208.1135170466213,0.0,0.12295678666705498,0.04169799000034497,False
equal,0.0015,0.6,30,0.06666666666666667,0.01847663532769335,0.21323817721072091,0.03333333333333333,0.0059084379948573795,0.16670751396958874,1.0838070264922322,1.6045885591228246,0.0,0.13811219999867413,0.04385549333455856,False
equal,0.002,0.8,30,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.13333333333333333,0.05309569424218104,0.2968168394441695,1.1084637851278325,1.4894770228796135,0.0,0.14132239000003513,0.04747231333264305,False
equal,0.0025,1.0,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.6333333333333333,0.45513246433604937,0.7812629779598231,1.1505930547821475,1.2174347708711062,0.0,0.142718400000255,0.04546266333345557,True
equal,0.003,1.2,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.2270561851893855,1.3925077281522713,0.0,0.12188871000010598,0.04136255333263155,True
equal,0.004,1.6,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.2020702094240816,1.2470280570527417,0.0,0.0475292633336115,0.019839223332868035,True
equal,0.005,2.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.011302560632863,1.0621193225667453,0.0,0.04651987333369713,0.01980279000053997,True
equal,0.0075,3.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0050690146024173,1.021350608010532,0.0,0.048746813331429925,0.019942173333402025,True
equal,0.01,4.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0054113552567325,1.0174257135771803,0.0,0.04616308666712333,0.01911509666654941,True
unequal,0.00025,0.1,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.075654606309967,1.238479470851041,0.0,0.044710923333332174,0.018786946667144852,False
unequal,0.0005,0.2,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.097291218866944,1.2468327015807819,0.0,0.04535521000022224,0.01944946666674999,False
unequal,0.00075,0.3,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.0943314085715348,1.648183867778331,0.0,0.047158570000465264,0.019589563333041345,False
unequal,0.001,0.4,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1254552745888424,1.4169738657072755,0.0,0.045661170000191,0.019336186667108752,False
unequal,0.0015,0.6,30,0.0,0.0,0.113517091390478,0.0,0.0,0.113517091390478,1.1247799199337623,1.6708044745378006,0.0,0.04623346333294952,0.01966264333265523,False
unequal,0.002,0.8,30,0.43333333333333335,0.2737723743061511,0.6080299045459127,0.06666666666666667,0.01847663532769335,0.21323817721072091,1.143409529446759,2.465735608540404,0.0,0.04614962333289441,0.019672873333183814,False
unequal,0.0025,1.0,30,0.6333333333333333,0.45513246433604937,0.7812629779598231,0.1,0.03459925995971615,0.25621441315266624,1.1716694364748697,3.088144838477217,0.0,0.046629450000424795,0.01972060666642695,False
unequal,0.003,1.2,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.5666666666666667,0.3919700954540873,0.7262276256938489,1.227801428471516,1.2466452957526544,0.0,0.045824806667224036,0.019613983333692887,True
unequal,0.004,1.6,30,1.0,0.8864829086095221,1.0,0.9333333333333333,0.7867618227892791,0.9815233646723066,1.2047979393325248,1.239706023271228,0.0,0.08123396666608945,0.029432186666478326,True
unequal,0.005,2.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.021065528426493,1.0728639488580762,0.0,0.11437067333390587,0.04005622999951205,True
unequal,0.0075,3.0,30,0.8333333333333334,0.6643529481431982,0.9266356575964831,1.0,0.8864829086095221,1.0,1.0132955222041433,2.1696779048732355,0.0,0.11422048000070693,0.03826093333263998,True
unequal,0.01,4.0,30,1.0,0.8864829086095221,1.0,1.0,0.8864829086095221,1.0,1.0071503294572333,1.025270235382806,0.0,0.11575325666684269,0.04069993666707887,True
