iteration,components_before,residual_peak_hz,glrt_score,glrt_threshold,glrt_passed,bic_before,candidate_origin,candidate_frequencies_hz,bic_after,bic_improvement,condition_design,accepted,stop_reason
1,0,13.999650008762513,2630.9502561631693,29.869678849094605,True,-179222.07113466217,residual_peak,14.0000234854,-182128.56522014417,2906.4940854820015,1.0000375562898318,True,accepted
2,1,7.99980000500715,1166.887682987817,29.869678849094605,True,-182128.56522014417,residual_peak,7.99992857147;14.0000234854,-183291.82468859886,1163.259468454693,1.0000754068826425,True,accepted
3,2,3.999900002503575,711.1158309901676,29.869678849094605,True,-183291.82468859886,residual_peak,3.99999817383;7.99992857147;14.0000234854,-183981.06409595982,689.2394073609612,1.0000968101131293,True,accepted
4,3,12.999675008136618,202.2001958736066,29.869678849094605,True,-183981.06409595982,residual_peak,3.99999817383;7.99992857147;13.0000888854;14.0000234854,-184169.8280022744,188.7639063145616,1.000149904352055,True,accepted
5,4,38.28904277396547,18.55303752514948,29.869678849094605,False,-184169.8280022744,,,,,,False,GLRT below threshold
