case_name,runs,success_rate,success_ci95_low,success_ci95_high,mean_estimated_k,median_frequency_mae_hz,ill_conditioned_rate,theoretical_identifiable,mean_runtime_seconds
very_low_snr_-25,100,0.0,0.0,0.03699480747600191,1.17,10.000011105595721,0.0,True,0.19151369900617282
very_low_snr_-30,100,0.0,0.0,0.03699480747600191,0.13,10.000099694933258,0.0,True,0.03493725899956189
non_symmetric_close,100,1.0,0.9630051925239981,0.9999999999999999,2.0,4.888258546964508e-05,0.0,True,0.07874579399998766
identical_frequency,100,0.98,0.9299868370580063,0.9944981477650318,1.02,0.007887145089464198,0.0,False,0.07745637800020631
phase_cancellation,100,1.0,0.9630051925239981,0.9999999999999999,1.0,0.006718686554209263,0.0,False,0.07547752600279636
overcomplete_k8,100,1.0,0.9630051925239981,0.9999999999999999,8.0,5.546099728914733e-05,0.0,True,4.410460302997962
impulsive_noise,100,1.0,0.9630051925239981,0.9999999999999999,4.0,5.3876660243812324e-05,0.0,True,0.8876943590003066
low_frequency_boundary,100,1.0,0.9630051925239981,0.9999999999999999,2.0,2.5243375942313184e-05,0.0,True,0.2368145690020174
high_frequency_boundary,100,1.0,0.9630051925239981,0.9999999999999999,2.0,1.8383053262738258e-05,0.0,True,0.23836105800175575
