true_k,runs,under_estimation_rate,correct_order_rate,correct_ci95_low,correct_ci95_high,over_estimation_rate,mean_frequency_mae_hz_if_correct_k
1,500,0.0,1.0,0.9923753814690964,0.9999999999999999,0.0,1.9666885946248768e-05
2,500,0.0,1.0,0.9923753814690964,0.9999999999999999,0.0,2.2481134803638447e-05
3,500,0.0,1.0,0.9923753814690964,0.9999999999999999,0.0,2.0534792597516855e-05
4,500,0.0,1.0,0.9923753814690964,0.9999999999999999,0.0,1.9900385816216227e-05
