weak_to_nearest_strong_distance_hz,runs,weak_detection_rate,weak_detection_ci95_low,weak_detection_ci95_high,correct_order_rate,over_estimation_rate
0.5,200,0.655,0.5867546071792236,0.7174031309860971,0.655,0.0
1.0,200,0.675,0.6073185684304498,0.736085329498138,0.675,0.0
2.0,200,0.68,0.612479733946457,0.7407357039229475,0.68,0.0
5.0,200,0.695,0.6280132012185453,0.7546368564733095,0.695,0.0
