layout,snr_db,fault_label,frequency_hz,amplitude,pd
bearing_left+gearbox_left+output_shaft,-25.0,4Hz,3.999998173832588,0.01910292277864388,0.06826923076923076
bearing_left+gearbox_left+output_shaft,-25.0,8Hz,7.9999285714666994,0.024889351734884123,0.06538461538461539
bearing_left+gearbox_left+output_shaft,-25.0,13Hz,13.00008888535092,0.010502919663465827,0.041346153846153845
bearing_left+gearbox_left+output_shaft,-25.0,14Hz,14.000023485389159,0.04005274094917999,0.5932692307692308
bearing_left+gearbox_left+output_shaft,-20.0,4Hz,3.999998173832588,0.01910292277864388,0.22115384615384615
bearing_left+gearbox_left+output_shaft,-20.0,8Hz,7.9999285714666994,0.024889351734884123,0.4115384615384615
bearing_left+gearbox_left+output_shaft,-20.0,13Hz,13.00008888535092,0.010502919663465827,0.07019230769230769
bearing_left+gearbox_left+output_shaft,-20.0,14Hz,14.000023485389159,0.04005274094917999,0.9884615384615385
bearing_left+gearbox_left+output_shaft,-15.0,4Hz,3.999998173832588,0.01910292277864388,0.8307692307692308
bearing_left+gearbox_left+output_shaft,-15.0,8Hz,7.9999285714666994,0.024889351734884123,0.9836538461538461
bearing_left+gearbox_left+output_shaft,-15.0,13Hz,13.00008888535092,0.010502919663465827,0.36153846153846153
bearing_left+gearbox_left+output_shaft,-15.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-12.0,4Hz,3.999998173832588,0.01910292277864388,0.9942307692307693
bearing_left+gearbox_left+output_shaft,-12.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-12.0,13Hz,13.00008888535092,0.010502919663465827,0.75
bearing_left+gearbox_left+output_shaft,-12.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-10.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-10.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-10.0,13Hz,13.00008888535092,0.010502919663465827,0.9634615384615385
bearing_left+gearbox_left+output_shaft,-10.0,14Hz,14.000023485389159,0.04005274094917999,1.0
bearing_left+gearbox_left+output_shaft,-5.0,4Hz,3.999998173832588,0.01910292277864388,1.0
bearing_left+gearbox_left+output_shaft,-5.0,8Hz,7.9999285714666994,0.024889351734884123,1.0
bearing_left+gearbox_left+output_shaft,-5.0,13Hz,13.00008888535092,0.010502919663465827,1.0
bearing_left+gearbox_left+output_shaft,-5.0,14Hz,14.000023485389159,0.04005274094917999,1.0
