lag,acf,reference_95_low,reference_95_high
0,1.0,-0.009799877502296828,0.009799877502296828
1,0.003927717541006306,-0.009799877502296828,0.009799877502296828
2,-0.0005584663504272837,-0.009799877502296828,0.009799877502296828
3,0.0018777662159412034,-0.009799877502296828,0.009799877502296828
4,-0.004101782559608517,-0.009799877502296828,0.009799877502296828
5,-0.008925489117236807,-0.009799877502296828,0.009799877502296828
6,-0.0037374358145938836,-0.009799877502296828,0.009799877502296828
7,-0.0025454856672402918,-0.009799877502296828,0.009799877502296828
8,-0.0006898008300599297,-0.009799877502296828,0.009799877502296828
9,-0.00892508061286459,-0.009799877502296828,0.009799877502296828
10,-0.0037884762879046886,-0.009799877502296828,0.009799877502296828
11,0.005509756269869665,-0.009799877502296828,0.009799877502296828
12,0.003211623634920438,-0.009799877502296828,0.009799877502296828
13,0.0016254446083805616,-0.009799877502296828,0.009799877502296828
14,0.0006234335040711696,-0.009799877502296828,0.009799877502296828
15,0.010238290791455119,-0.009799877502296828,0.009799877502296828
16,0.0006575541140749905,-0.009799877502296828,0.009799877502296828
17,0.003810120238969072,-0.009799877502296828,0.009799877502296828
18,-0.010538332951151285,-0.009799877502296828,0.009799877502296828
19,0.003703222194314123,-0.009799877502296828,0.009799877502296828
20,-0.005902915452421968,-0.009799877502296828,0.009799877502296828
21,-0.015421628078529847,-0.009799877502296828,0.009799877502296828
22,0.006302204645250468,-0.009799877502296828,0.009799877502296828
23,-0.0023845240925127052,-0.009799877502296828,0.009799877502296828
24,-0.0028455833168281224,-0.009799877502296828,0.009799877502296828
25,-0.006082775737076831,-0.009799877502296828,0.009799877502296828
26,0.0015160714005992997,-0.009799877502296828,0.009799877502296828
27,0.00038317056743303335,-0.009799877502296828,0.009799877502296828
28,0.0057183870456677215,-0.009799877502296828,0.009799877502296828
29,0.0004950595680194947,-0.009799877502296828,0.009799877502296828
30,-0.0046380600139322775,-0.009799877502296828,0.009799877502296828
31,-0.007181856878340817,-0.009799877502296828,0.009799877502296828
32,-0.002522582786095776,-0.009799877502296828,0.009799877502296828
33,0.0007921923263267284,-0.009799877502296828,0.009799877502296828
34,0.0063229562579868665,-0.009799877502296828,0.009799877502296828
35,0.005048011240266485,-0.009799877502296828,0.009799877502296828
36,0.0052190687899556455,-0.009799877502296828,0.009799877502296828
37,-0.002453701147808134,-0.009799877502296828,0.009799877502296828
38,-8.827817967915202e-05,-0.009799877502296828,0.009799877502296828
39,-0.0058978721121955785,-0.009799877502296828,0.009799877502296828
40,-0.0030709259215682834,-0.009799877502296828,0.009799877502296828
41,-0.0014175696188030301,-0.009799877502296828,0.009799877502296828
42,-0.0019180815402201766,-0.009799877502296828,0.009799877502296828
43,-0.0028742662450915914,-0.009799877502296828,0.009799877502296828
44,-0.002643703548778755,-0.009799877502296828,0.009799877502296828
45,-0.002413153525981737,-0.009799877502296828,0.009799877502296828
46,-0.004603312250842929,-0.009799877502296828,0.009799877502296828
47,0.0033588709648776855,-0.009799877502296828,0.009799877502296828
48,0.008961357425927595,-0.009799877502296828,0.009799877502296828
49,0.0066487417316560965,-0.009799877502296828,0.009799877502296828
50,-0.001395163222212007,-0.009799877502296828,0.009799877502296828
51,-0.0019602095670225544,-0.009799877502296828,0.009799877502296828
52,-0.0005002099794600885,-0.009799877502296828,0.009799877502296828
