snr_weak_db,amplitude_ratio_weak_to_strong,amplitude_ratio_value,separation_hz,rayleigh_multiples,runs,successes,success_rate,success_ci95_low,success_ci95_high,mean_max_frequency_error_hz_if_success,median_condition_design,ill_conditioned_rate,mean_runtime_seconds
-6.0,1:1,1,0.001,0.4,8,7,0.875,0.5291051942301386,0.9775830911367038,4.331532586514848e-05,2.6961306978492043,0.0,2.8676216749981904
-6.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,7.077892001694508e-05,1.2672661302342694,0.0,2.458062987499943
-6.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,2.343397661697111e-05,1.0114453866374957,0.0,1.8433940500008248
-6.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,2.227170697421954e-05,1.170683476725662,0.0,2.0219335624997257
-6.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,1.277872758165266e-05,1.2111128732844614,0.0,2.0040588125002614
-6.0,1:3,3,0.001,0.4,8,4,0.5,0.21521252682444186,0.7847874731755582,3.555244868969076e-05,2.063737328129863,0.0,2.004367287499008
-6.0,1:3,3,0.002,0.8,8,6,0.75,0.40926987910258916,0.9285223111419724,3.5816219302671946e-05,1.282614801264406,0.0,2.752261024998006
-6.0,1:3,3,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,4.373359584231018e-05,1.0101746601013595,0.0,1.9933272625003156
-6.0,1:3,3,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,1.7300928705998864e-05,1.1693558164575633,0.0,2.015564974998597
-6.0,1:3,3,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,1.3024346707135592e-05,1.212364316051298,0.0,1.9814003375004177
-6.0,1:10,10,0.001,0.4,8,2,0.25,0.07147768885802763,0.5907301208974108,0.00013487505420961554,6.2256336907626215,0.0,3.4715416874996663
-6.0,1:10,10,0.002,0.8,8,5,0.625,0.30573785458380187,0.863158240538479,1.1554912218159075e-05,1.2768461094944263,0.0,3.1313873124991005
-6.0,1:10,10,0.0025,1.0,8,7,0.875,0.5291051942301386,0.9775830911367038,6.766336414010254e-05,1.0090131937473164,0.0,2.386098637500254
-6.0,1:10,10,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,3.9784776694862245e-05,1.173841009743635,0.0,1.9569139624991294
-6.0,1:10,10,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,6.03665221121652e-06,1.2113158624398204,0.0,2.048239137499877
-12.0,1:1,1,0.001,0.4,8,6,0.75,0.40926987910258916,0.9285223111419724,0.00014174599619772485,2.348292030222602,0.0,1.7940215249991525
-12.0,1:1,1,0.002,0.8,8,8,1.0,0.6755843804891231,1.0,0.00012133246659928876,1.206297646933889,0.0,1.961285187498106
-12.0,1:1,1,0.0025,1.0,8,8,1.0,0.6755843804891231,1.0,3.615158449665756e-05,1.0172116905464494,0.0,1.9587187249990166
-12.0,1:1,1,0.003,1.2,8,8,1.0,0.6755843804891231,1.0,4.347843242002991e-05,1.168374946551665,0.0,1.9801798999997118
-12.0,1:1,1,0.004,1.6,8,8,1.0,0.6755843804891231,1.0,3.525420948735647e-05,1.2103733561703383,0.0,2.0636942124992856
