time_s,detrended_observation,fitted_four_component_signal,residual
0.0,-0.07393460094893611,0.010692222548286114,-0.08462682349722223
0.01,0.10219730997050283,0.027215827076415993,0.07498148289408683
0.02,0.13999538084456176,0.028429083330839763,0.11156629751372199
0.03,-0.06026993013792729,0.009713720571508986,-0.06998365070943627
0.04,0.016942882558757654,-0.016848900320849642,0.033791782879607296
0.05,-0.0961915806119594,-0.03141301499176596,-0.06477856562019343
0.06,-0.0033938840637444618,-0.021502727995046374,0.018108843931301914
0.07,0.01239957116579848,0.007981667320272437,0.004417903845526044
0.08,-0.21867095450943555,0.03741834556826188,-0.2560893000776974
0.09,0.10704751775429437,0.0459793353228613,0.06106818243143307
0.1,0.1095241226191803,0.026228596220645193,0.08329552639853512
0.11,0.05706854338173025,-0.010750341272175558,0.06781888465390581
0.12,-0.06361083188184581,-0.043301854465998026,-0.020308977415847786
0.13,-0.034921448404612865,-0.054302116592460016,0.01938066818784715
0.14,0.016622694841542083,-0.04240288265837317,0.05902557749991526
0.15,0.030899273628860024,-0.02142574181325115,0.05232501544211117
0.16,-0.11965720386942504,-0.008768051649468065,-0.11088915221995697
0.17,-0.09767980981468309,-0.011780303358786602,-0.08589950645589649
0.18,-0.12243313743679315,-0.02243727817781822,-0.09999585925897493
0.19,0.0442640912238928,-0.024276223433195434,0.06854031465708824
0.2,0.0017300399312777388,-0.006259997529210229,0.007990037460487967
0.21,0.015809380992457683,0.02710487931618734,-0.011295498323729655
0.22,0.08497875210339062,0.05739613356725353,0.02758261853613709
0.23,-0.11801260200657844,0.06490630484005207,-0.1829189068466305
0.24,-0.03600338359274149,0.043178611979015506,-0.079181995571757
0.25,-0.06246298873270054,0.004632856028127919,-0.06709584476082846
0.26,-0.0316049450900066,-0.027224606125120614,-0.004380338964885988
0.27,-0.016166272034812662,-0.033724210905683026,0.017557938870870364
0.28,-0.10838303695288772,-0.01372882022380109,-0.09465421672908662
0.29,0.05271930533036522,0.01608070898542218,0.03663859634494304
0.3,0.12459395825554417,0.03356302505703586,0.09103093319850832
0.31,0.0063037107077461105,0.027128347906255644,-0.020824637198509535
0.32,-0.026430257784179945,0.0037051201339070466,-0.030135377918086993
0.33,-0.03393279276014201,-0.01716798021964907,-0.01676481254049294
0.34,-0.05697992324449606,-0.01872513367342127,-0.03825478957107478
0.35,0.10697488228455089,-0.000337644865099226,0.10731252714965012
0.36,-0.06186469530662817,0.021306758737703945,-0.08317145404433211
0.37,-0.10858254430240823,0.024467795729780643,-0.13305034003218888
0.38,-0.10039210728576929,-0.0007240246233221697,-0.09966808266244712
0.39,-0.08508952577458835,-0.04324517233267477,-0.04184435344191358
0.4,-0.0967050200143524,-0.07720096028086383,-0.019504059733488566
0.41,-0.02743637664738046,-0.07919175312767505,0.051755376480294595
0.42,-0.061031823007444516,-0.0448817150065427,-0.016150108000901817
0.43,-0.028733896714951575,0.007184146027988012,-0.03591804274293959
0.44,0.16145514420027238,0.04759730871832088,0.1138578354819515
0.45,0.046387702261747314,0.055730730241988595,-0.00934302798024128
0.46,0.20537050710609325,0.03322883567478017,0.1721416714313131
0.47,-0.0313070315349708,0.001815934801446028,-0.03312296633641683
0.48,-0.00905989014502286,-0.01295489412193261,0.0038950039769097503
0.49,-0.07701749477202192,-0.00031179510885457956,-0.07670569966316734
0.5,-0.017747947701016974,0.028192571148269965,-0.04594051884928694
0.51,0.04913574807933797,0.04767446379276611,0.0014612842865718567
0.52,-0.023560683327020087,0.038939918836565494,-0.06250060216358558
0.53,-0.09488792073430614,0.0036462833233145953,-0.09853420405762074
0.54,-0.0512532030699532,-0.03566648096970956,-0.015586722100243637
0.55,-0.14956179322399324,-0.051109370344111005,-0.09845242287988223
0.56,-0.033403735176574315,-0.029652947136862454,-0.0037507880397118602
0.57,-0.034673003274370374,0.016517415316541845,-0.05119041859091222
0.58,0.16044661577972055,0.05725267332805823,0.10319394245166233
0.59,0.0912945075253375,0.06459727030599115,0.02669723721934636
0.6,0.043751028708886454,0.03188385007285853,0.011867178636027924
